# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
绝然	jue ran	4
绝版	jue ban	431
绝症	jue zheng	93
绝种	jue zhong	230
绝笔	jue bi	43
绝经	jue jing	76
绝缘	jue yuan	388
绝缘体	jue yuan ti	645
绝缘性	jue yuan xing	14
绝育	jue yu	1648
绝色	jue se	33
绝艺	jue yi	13
绝路	jue lu	46
绝迹	jue ji	213
绝配	jue pei	965
绝非	jue fei	275
绝顶	jue ding	526
绝食	jue shi	1018
绞	jiao	538
绞刑	jiao xing	261
绞刑架	jiao xing jia	24
绞尽脑汁	jiao jin nao zhi	200
绞杀	jiao sha	125
绞架	jiao jia	2
绞死	jiao si	102
绞痛	jiao tong	17
绞盘	jiao pan	60
绞索	jiao suo	16
绞车	jiao che	23
统	tong	5345
统一	tong yi	11124
统一体	tong yi ti	13
统一战线	tong yi zhan xian	394
统三	tong san	63
统二	tong er	65
统共	tong gong	19
统军	tong jun	205
统制	tong zhi	346
统包	tong bao	54
统合	tong he	554
统属	tong shu	22
统帅	tong shuai	545
统帅部	tong shuai bu	95
统战	tong zhan	232
统战部	tong zhan bu	960
统招	tong zhao	37
统揽	tong lan	2
统摄	tong she	13
统收	tong shou	1
统治	tong zhi	10183
统率	tong shuai	250
统称	tong cheng	1024
统筹	tong chou	1377
统筹兼顾	tong chou jian gu	10
统管	tong guan	67
统统	tong tong	636
统编	tong bian	80
统考	tong kao	210
统舱	tong cang	3
统观	tong guan	1
统计	tong ji	11689
统计分析	tong ji fen xi	56
统计学	tong ji xue	489
统计系	tong ji xi	54
统计表	tong ji biao	24
统购	tong gou	14
统辖	tong xia	169
统配	tong pei	6
统销	tong xiao	14
统领	tong ling	1057
绠	geng	2
绡	xiao	58
绢	juan	542
绢丝	juan si	3
绢本	juan ben	40
绢画	juan hua	47
绢花	juan hua	19
绣	xiu	1894
绣像	xiu xiang	18
绣制	xiu zhi	4
绣品	xiu pin	14
绣房	xiu fang	5
绣春	xiu chun	2
绣春刀	xiu chun dao	228
绣球	xiu qiu	689
绣线	xiu xian	216
绣花	xiu hua	203
绣花枕头	xiu hua zhen tou	12
绣花针	xiu hua zhen	37
绣花鞋	xiu hua xie	97
绣鞋	xiu xie	7
绤	xi	3
绥	sui	1741
绥中	sui zhong	105
绥化市	sui hua shi	144
绥宁	sui ning	52
绥德	sui de	275
绥远	sui yuan	573
绥阳	sui yang	67
绥靖	sui jing	649
绦	tao	18
绦虫	tao chong	65
继	ji	8635
继业	ji ye	106
继任	ji ren	2429
继位	ji wei	1240
继嗣	ji si	33
继妻	ji qi	236
继子女	ji zi nv	7
继室	ji shi	138
继往开来	ji wang kai lai	47
继承	ji cheng	7763
继承人	ji cheng ren	1469
继承权	ji cheng quan	406
继承法	ji cheng fa	56
继母	ji mu	1245
继父	ji fu	203
继电器	ji dian qi	103
继科	ji ke	143
继续	ji xu	68741
继续加油	ji xu jia you	2979
继续努力	ji xu nu li	3266
继续教育	ji xu jiao yu	110
继续睡	ji xu shui	2198
继而	ji er	931
绨	ti	3
绩	ji	554
绩效	ji xiao	385
绩溪	ji xi	107
绩点	ji dian	207
绪	xu	2280
绪纂	xu zuan	262
绪纂宜	xu zuan yi	262
绪纂宜荆	xu zuan yi jing	262
绪言	xu yan	4
绪论	xu lun	30
绫	ling	2008
绫乃	ling nai	136
绫子	ling zi	124
绫罗	ling luo	24
绫罗绸缎	ling luo chou duan	6
续	xu	4582
续会	xu hui	8
续作	xu zuo	1190
续借	xu jie	50
续假	xu jia	16
续后	xu hou	10
续娶	xu qu	24
续建	xu jian	108
续弦	xu xian	44
续断	xu duan	57
续稿	xu gao	12
续签	xu qian	215
续篇	xu pian	211
续约	xu yue	851
续编	xu bian	149
续聘	xu pin	37
续航	xu hang	1223
续订	xu ding	498
续貂	xu diao	2
续费	xu fei	386
续集	xu ji	2744
绮	qi	1548
绮丽	qi li	107
绯	fei	491
绯红	fei hong	143
绯闻	fei wen	847
绰	chao	50
绰	chuo	1003
绰号	chuo hao	1509
绰约	chuo yue	15
绰绰有余	chuo chuo you yu	11
绱	shang	10
绲	gun	47
绳	sheng	2852
绳之以法	sheng zhi yi fa	114
绳县	sheng xian	517
绳命	sheng ming	281
绳墨	sheng mo	8
绳套	sheng tao	3
绳子	sheng zi	1494
绳梯	sheng ti	8
绳索	sheng suo	361
维	wei	30304
维亚	wei ya	2691
维京	wei jing	479
维什	wei shi	291
维修	wei xiu	4565
维克	wei ke	2347
维克托	wei ke tuo	582
维克斯	wei ke si	316
维兹	wei zi	587
维利	wei li	438
维利亚	wei li ya	133
维利耶	wei li ye	440
维加	wei jia	745
维勒	wei le	1328
维吉	wei ji	78
维吉尼	wei ji ni	22
维吉尼亚	wei ji ni ya	555
维吾	wei wu	410
维吾尔	wei wu er	424
维吾尔文	wei wu er wen	32
维吾尔族	wei wu er zu	814
维和	wei he	434
维埃	wei ai	236
维埃纳	wei ai na	272
维埃纳省	wei ai na sheng	4215
维基	wei ji	1982
维基百科	wei ji bai ke	968
维多	wei duo	3270
维多利亚港	wei duo li ya gang	114
维奇	wei qi	3347
维娅	wei ya	51
维密	wei mi	786
维察	wei cha	265
维尔	wei er	13905
维尔德	wei er de	494
维尤	wei you	407
维尼	wei ni	1191
维尼亚	wei ni ya	137
维尼纶	wei ni lun	22
维尼翁	wei ni weng	217
维希	wei xi	534
维度	wei du	705
维德	wei de	595
维托	wei tuo	444
维护	wei hu	6082
维护者	wei hu zhe	67
维拉	wei la	2420
维持	wei chi	8546
维持原判	wei chi yuan pan	144
维斯	wei si	2112
维斯塔	wei si ta	710
维斯特	wei si te	310
维新	wei xin	1531
维权	wei quan	524
维桑	wei sang	25
维桑堡	wei sang bao	266
维涅	wei nie	245
维珍	wei zhen	237
维生素	wei sheng su	1462
维秘	wei mi	561
维稳	wei wen	206
维系	wei xi	204
维纳	wei na	532
维纳斯	wei na si	317
维耶	wei ye	1111
维耶尔	wei ye er	460
维茨	wei ci	708
维莱	wei lai	5360
维西	wei xi	199
绵	mian	1670
绵亘	mian gen	10
绵密	mian mi	64
绵延	mian yan	261
绵白糖	mian bai tang	7
绵纸	mian zhi	2
绵绵	mian mian	815
绵绸	mian chou	9
绵羊	mian yang	1228
绵薄	mian bo	140
绵软	mian ruan	25
绵里藏针	mian li cang zhen	12
绵长	mian chang	74
绵阳	mian yang	2021
绵阳市	mian yang shi	148
绶	shou	566
绶带	shou dai	86
绶章	shou zhang	97
绷	beng	524
绷子	beng zi	1
绷带	beng dai	134
绷脸	beng lian	5
绸	chou	152
绸子	chou zi	13
绸缎	chou duan	94
绸缪	chou mou	20
绹	tao	18
绺	liu	69
绻	quan	1
综	zeng	44
综	zong	890
综上所述	zong shang suo shu	73
综合	zong he	12479
综合国力	zong he guo li	15
综合大学	zong he da xue	98
综合开发	zong he kai fa	101
综合征	zong he zheng	344
综合治理	zong he zhi li	40
综合症	zong he zheng	1232
综合类	zong he lei	58
综艺	zong yi	7741
综观	zong guan	47
综述	zong shu	150
绽	zhan	76
绽开	zhan kai	11
绽放	zhan fang	765
绽露	zhan lu	1
绾	wan	128
绿	lu	895
绿	lv	17896
绿光	lv guang	417
绿党	lv dang	532
绿化	lv hua	1046
绿化带	lv hua dai	179
绿卡	lv ka	128
绿叶	lv ye	624
绿园	lv yuan	130
绿地	lv di	1300
绿城	lv cheng	654
绿宝石	lv bao shi	102
绿岛	lv dao	369
绿帽	lv mao	394
绿帽子	lv mao zi	515
绿帽社	lv mao she	202
绿松石	lv song shi	86
绿林	lu lin	60
绿植	lv zhi	244
绿油油	lv you you	268
绿洲	lv zhou	423
绿灯	lv deng	522
绿皮	lv pi	650
绿箭	lv jian	409
绿篱	lv li	17
绿线	lv xian	579
绿肥	lv fei	42
绿色	lv se	11921
绿色的	lv se de	2758
绿色通道	lv se tong dao	29
绿色食品	lv se shi pin	7
绿茵	lv yin	212
绿茵场	lv yin chang	11
绿茵茵	lv yin yin	4
绿茶	lv cha	1474
绿茸茸	lv rong rong	2
绿莹莹	lv ying ying	2
绿萝	lv luo	312
绿葱葱	lv cong cong	3
绿藻	lv zao	58
绿豆	lv dou	1070
绿豆汤	lv dou tang	333
绿豆粥	lv dou zhou	67
绿豆糕	lv dou gao	190
绿豆芽	lv dou ya	62
绿豆蝇	lv dou ying	16
绿豆饼	lv dou bing	134
绿道	lv dao	216
绿野	lv ye	217
绿阴	lv yin	7
缀	zhui	536
缁	zi	22
缂	ke	5
缂丝	ke si	13
缃	xiang	31
缄	jian	31
缄口	jian kou	8
缄默	jian mo	123
缅	mian	1803
缅因州	mian yin zhou	360
缅度	mian du	232
缅怀	mian huai	569
缅甸	mian dian	5272
缆	lan	392
缆绳	lan sheng	44
缆车	lan che	852
缇	ti	1064
缈	miao	18
缉	ji	188
缉	qi	9
缉凶	ji xiong	38
缉拿	ji na	81
缉捕	ji bu	96
缉查	ji cha	8
缉毒	ji du	316
缉私	ji si	84
缉私艇	ji si ting	1
缉获	ji huo	22
缊	yun	9
缌	si	17
缎	duan	354
缎子	duan zi	15
缐	xian	52
缑	gou	154
缒	zhui	21
缓	huan	2989
缓兵之计	huan bing zhi ji	23
缓冲	huan chong	700
缓冲区	huan chong qu	360
缓冲器	huan chong qi	98
缓刑	huan xing	373
缓办	huan ban	9
缓和	huan he	692
缓坡	huan po	55
缓存	huan cun	745
缓建	huan jian	16
缓征	huan zheng	9
缓急	huan ji	90
缓慢	huan man	1832
缓期	huan qi	91
缓步	huan bu	25
缓气	huan qi	1
缓缓	huan huan	1016
缓行	huan xing	61
缓解	huan jie	2380
缔	di	111
缔交	di jiao	1
缔约	di yue	112
缔约国	di yue guo	107
缔结	di jie	502
缔造	di zao	426
缕	lv	500
缕析	lv xi	1
缕缕	lv lv	88
缕述	lv shu	1
编	bian	11033
编余	bian yu	10
编修	bian xiu	1074
编入	bian ru	3085
编内	bian nei	3
编写	bian xie	2630
编列	bian lie	254
编创	bian chuang	24
编制	bian zhi	3090
编剧	bian ju	11437
编印	bian yin	350
编号	bian hao	13292
编后	bian hou	30
编外	bian wai	64
编委	bian wei	254
编委会	bian wei hui	131
编审	bian shen	665
编导	bian dao	952
编年	bian nian	99
编年体	bian nian ti	33
编年史	bian nian shi	625
编录	bian lu	7
编成	bian cheng	2069
编排	bian pai	941
编撰	bian zhuan	454
编曲	bian qu	11352
编校	bian jiao	15
编次	bian ci	13
编派	bian pai	5
编演	bian yan	15
编目	bian mu	92
编码	bian ma	29388
编码器	bian ma qi	102
编程	bian cheng	1354
编程语言	bian cheng yu yan	439
编纂	bian zuan	1120
编组	bian zu	2833
编织	bian zhi	635
编织袋	bian zhi dai	43
编结	bian jie	2
编绘	bian hui	51
编者	bian zhe	208
编者按	bian zhe an	24
编自	bian zi	4
编舞	bian wu	770
编著	bian zhu	573
编解码器	bian jie ma qi	88
编订	bian ding	61
编译	bian yi	861
编译器	bian yi qi	449
编辑	bian ji	10975
编辑部	bian ji bu	640
编选	bian xuan	25
编造	bian zao	306
编钟	bian zhong	64
编队	bian dui	635
编集	bian ji	403
缗	min	100
缘	yuan	6039
缘于	yuan yu	85
缘份	yuan fen	454
缘何	yuan he	34
缘分	yuan fen	8576
缘故	yuan gu	2242
缘木求鱼	yuan mu qiu yu	5
缘由	yuan you	337
缘起	yuan qi	326
缙	jin	226
缙云	jin yun	223
缙绅	jin shen	28
缚	fu	372
缛	ru	6
缜	zhen	52
缜密	zhen mi	169
缝	feng	3013
缝制	feng zhi	105
缝合	feng he	119
缝合线	feng he xian	30
缝子	feng zi	4
缝穷	feng qiong	5
缝纫	feng ren	172
缝纫机	feng ren ji	863
缝线	feng xian	149
缝缀	feng zhui	4
缝衣	feng yi	27
缝补	feng bu	100
缝隙	feng xi	502
缞	cui	8
缟	gao	89
缠	chan	1687
缠手	chan shou	7
缠扰	chan rao	24
缠烂	chan lan	264
缠烂打	chan lan da	261
缠着	chan zhe	439
缠磨	chan mo	2
缠结	chan jie	32
缠绕	chan rao	438
缠绵	chan mian	288
缠绵悱恻	chan mian fei ce	21
缠足	chan zu	41
缠身	chan shen	310
缡	li	17
缢	yi	63
缣	jian	18
缣帛	jian bo	6
缤	bin	74
缤纷	bin fen	329
缥	piao	29
缥缈	piao miao	95
缦	man	41
缧	lei	5
缨	ying	166
缨子	ying zi	5
缩	su	168
缩	suo	3354
缩写	suo xie	3874
缩写本	suo xie ben	3
缩减	suo jian	801
缩印	suo yin	69
缩印本	suo yin ben	9
缩头缩脑	suo tou suo nao	8
缩小	suo xiao	1491
缩影	suo ying	177
缩微	suo wei	28
缩手	suo shou	12
缩手缩脚	suo shou suo jiao	8
缩放	suo fang	227
缩水	suo shui	602
缩水率	suo shui lv	7
缩略	suo lve	145
缩略语	suo lue yu	1
缩略语	suo lve yu	8
缩短	suo duan	1973
缩编	suo bian	181
缩进	suo jin	102
缪	miao	74
缪	miu	74
缪	mou	1480
缪尔	miao er	163
缫	sao	4
缫丝	sao si	20
缬	xie	56
缭	liao	32
缭乱	liao luan	91
缭绕	liao rao	182
缮	shan	240
缮写	shan xie	17
缯	zeng	93
缰	jiang	43
缰绳	jiang sheng	32
缱	qian	3
缱绻	qian quan	41
缲	qiao	13
缲	sao	1
缳	huan	58
缴	jiao	521
缴	zhuo	26
缴交	jiao jiao	259
缴付	jiao fu	249
缴出	jiao chu	359
缴枪	jiao qiang	39
缴械	jiao xie	252
缴款	jiao kuan	16
缴租	jiao zu	1
缴税	jiao shui	92
缴纳	jiao na	541
缴获	jiao huo	592
缴费	jiao fei	108
缵	zuan	243
缶	fou	27
缸	gang	1814
缸子	gang zi	45
缸瓦	gang wa	1
缸盖	gang gai	8
缺	que	19352
缺一不可	que yi bu ke	261
缺乏	que fa	6458
缺位	que wei	41
缺勤	que qin	59
缺口	que kou	386
缺员	que yuan	8
缺嘴	que zui	6
缺失	que shi	863
缺少	que shao	2745
缺席	que xi	1093
缺德	que de	758
缺心	que xin	12
缺心眼	que xin yan	418
缺心眼儿	que xin yan er	85
缺憾	que han	172
缺损	que sun	126
缺斤少两	que jin shao liang	28
缺斤短两	que jin duan liang	2
缺欠	que qian	2
缺氧	que yang	204
缺水	que shui	547
缺漏	que lou	11
缺点	que dian	3146
缺爱	que ai	772
缺编	que bian	9
缺血	que xue	117
缺觉	que jiao	220
缺课	que ke	44
缺货	que huo	313
缺钙	que gai	421
缺钱	que qian	1827
缺门	que men	12
缺阵	que zhen	98
缺陷	que xian	1392
缺额	que e	148
罂	ying	16
罂粟	ying su	566
罄	qing	36
罄尽	qing jin	2
罄竹难书	qing zhu nan shu	17
罅	xia	24
罅隙	xia xi	20
罍	lei	36
罐	guan	3532
罐头	guan tou	1461
罐头盒	guan tou he	1
罐子	guan zi	728
罐笼	guan long	12
罐装	guan zhuang	295
罐车	guan che	138
网	wang	25173
网上	wang shang	17053
网兜	wang dou	32
网具	wang ju	1
网剧	wang ju	771
网卡	wang ka	200
网友	wang you	7256
网名	wang ming	1037
网吧	wang ba	2978
网咖	wang ka	247
网址	wang zhi	1379
网子	wang zi	60
网巾	wang jin	16
网店	wang dian	890
网开一面	wang kai yi mian	27
网恋	wang lian	2212
网恋吗	wang lian ma	1080
网播	wang bo	236
网易	wang yi	1175
网易云	wang yi yun	1154
网易云音乐	wang yi yun yin yue	525
网易新闻	wang yi xin wen	50
网民	wang min	3159
网游	wang you	676
网点	wang dian	198
网状	wang zhuang	198
网球	wang qiu	5433
网瘾	wang yin	851
网盘	wang pan	657
网眼	wang yan	51
网站	wang zhan	21980
网站公告	wang zhan gong gao	123
网站发布	wang zhan fa bu	147
网管	wang guan	13
网箱	wang xiang	9
网篮	wang lan	3
网红	wang hong	11408
网线	wang xian	548
网络	wang luo	18682
网络世界	wang luo shi jie	154
网络分析	wang luo fen xi	53
网络化	wang luo hua	37
网络安全	wang luo an quan	382
网络平台	wang luo ping tai	169
网络技术	wang luo ji shu	59
网络攻击	wang luo gong ji	71
网络游戏	wang luo you xi	227
网络电台	wang luo dian tai	56
网络电视	wang luo dian shi	182
网络电话	wang luo dian hua	4
网络系统	wang luo xi tong	58
网络营销	wang luo ying xiao	10
网络警察	wang luo jing cha	6
网络连接	wang luo lian jie	64
网绳	wang sheng	2
网罗	wang luo	116
网膜	wang mo	22
网袋	wang dai	10
网购	wang gou	1628
网费	wang fei	209
网路	wang lu	7717
网迷	wang mi	5
网通	wang tong	68
网速	wang su	1559
网际	wang ji	412
网页	wang ye	3753
网页游戏	wang ye you xi	90
网页设计	wang ye she ji	73
罔	wang	357
罕	han	2470
罕有	han you	213
罕见	han jian	2087
罕闻	han wen	4
罗	luo	62751
罗丹	luo dan	126
罗什	luo shen	1013
罗伊	luo yi	1557
罗伊斯	luo yi si	238
罗伦	luo lun	205
罗伦萨	luo lun sa	1
罗伯	luo bo	1109
罗伯斯庇尔	luo bo si bi er	102
罗伯特	luo bo te	4066
罗伯茨	luo bo ci	322
罗兰	luo lan	887
罗兴	luo xing	21
罗兴亚	luo xing ya	404
罗内	luo nei	158
罗列	luo lie	174
罗圈儿腿	luo quan er tui	1
罗埃	luo ai	51
罗大佑	luo da you	70
罗夫	luo fu	1767
罗夫斯	luo fu si	488
罗夫斯基	luo fu si ji	224
罗夫诺	luo fu nuo	100
罗夫诺州	luo fu nuo zhou	868
罗妮	luo ni	124
罗姆	luo mu	1303
罗宋汤	luo song tang	54
罗定市	luo ding shi	120
罗宾	luo bin	1268
罗宾森	luo bin sen	246
罗宾逊	luo bin xun	236
罗密	luo mi	13
罗密欧	luo mi ou	326
罗尚	luo shang	85
罗尼	luo ni	688
罗山	luo shan	387
罗布泊	luo bu po	57
罗德	luo de	3092
罗德里	luo de li	718
罗志祥	luo zhi xiang	371
罗戈	luo ge	195
罗拔	luo ba	226
罗文	luo wen	486
罗斯	luo si	5028
罗斯托	luo si tuo	30
罗斯托夫	luo si tuo fu	268
罗斯特	luo si te	174
罗斯福	luo si fu	1293
罗旺	luo wang	9
罗旺斯	luo wang si	3617
罗曼	luo man	1336
罗曼史	luo man shi	189
罗曼蒂克	luo man di ke	101
罗村	luo cun	59
罗杰	luo jie	1638
罗森	luo sen	915
罗氏	luo shi	331
罗永浩	luo yong hao	106
罗汉	luo han	537
罗汉松	luo han song	59
罗汉果	luo han guo	55
罗汉豆	luo han dou	3
罗沙	luo sha	59
罗洁	luo jie	292
罗洲	luo zhou	1
罗浮	luo fu	146
罗涅	luo nie	12
罗湖	luo hu	626
罗牌	luo pai	251
罗琳	luo lin	726
罗瑞卿	luo rui qing	80
罗生门	luo sheng men	66
罗田	luo tian	117
罗甸	luo dian	68
罗盘	luo pan	183
罗素	luo su	1098
罗纪	luo ji	2
罗纳尔多	luo na er duo	60
罗纳德	luo na de	473
罗织	luo zhi	59
罗维	luo wei	84
罗维奇	luo wei qi	759
罗网	luo wang	20
罗致	luo zhi	92
罗荣桓	luo rong huan	59
罗莎	luo sha	541
罗萨	luo sa	1087
罗蜜	luo mi	9
罗西	luo xi	541
罗讷	luo ne	5048
罗讷河	luo ne he	215
罗讷省	luo ne sheng	1210
罗贯中	luo guan zhong	52
罗锅	luo guo	27
罗锅儿	luo guo er	59
罗门	luo men	1170
罗陀	luo tuo	17
罗非鱼	luo fei yu	78
罗马	luo ma	21260
罗马假日	luo ma jia ri	61
罗马数字	luo ma shu zi	94
罘	fu	8
罚	fa	3518
罚单	fa dan	365
罚款	fa kuan	2185
罚没	fa mo	12
罚没款	fa mo kuan	6
罚球	fa qiu	320
罚站	fa zhan	284
罚跪	fa gui	43
罚酒	fa jiu	49
罚金	fa jin	401
罚钱	fa qian	208
罟	gu	40
罡	gang	155
罢	ba	1882
罢了	ba le	4700
罢了	ba liao	587
罢休	ba xiu	246
罢免	ba mian	1154
罢官	ba guan	287
罢工	ba gong	2005
罢市	ba shi	109
罢战	ba zhan	2
罢手	ba shou	26
罢教	ba jiao	19
罢演	ba yan	5
罢课	ba ke	497
罢赛	ba sai	46
罨	yan	6
罩	zhao	2520
罩子	zhao zi	74
罩着	zhao zhe	445
罩衣	zhao yi	12
罩衫	zhao shan	52
罩袍	zhao pao	14
罪	zui	8869
罪不容诛	zui bu rong zhu	2
罪人	zui ren	151
罪名	zui ming	2118
罪大恶极	zui da e ji	22
罪孽	zui nie	72
罪恶	zui e	569
罪成	zui cheng	420
罪有应得	zui you ying de	12
罪案	zui an	414
罪犯	zui fan	1340
罪状	zui zhuang	143
罪行	zui xing	1783
罪证	zui zheng	114
罪该万死	zui gai wan si	7
罪责	zui ze	127
罪过	zui guo	93
罪魁	zui kui	8
罪魁祸首	zui kui huo shou	136
置	zhi	6247
置业	zhi ye	368
置之不理	zhi zhi bu li	116
置之度外	zhi zhi du wai	16
置之脑后	zhi zhi nao hou	3
置于	zhi yu	1364
置于死地	zhi yu si di	7
置信	zhi xin	140
置入	zhi ru	232
置办	zhi ban	262
置县	zhi xian	234
置喙	zhi hui	14
置备	zhi bei	7
置换	zhi huan	484
置放	zhi fang	109
置疑	zhi yi	48
置若罔闻	zhi ruo wang wen	29
置评	zhi ping	86
置诸高阁	zhi zhu gao ge	4
置身	zhi shen	226
置身事外	zhi shen shi wai	82
置辩	zhi bian	2
置顶	zhi ding	1340
罱	lan	10
署	shu	10515
署任	shu ren	315
署名	shu ming	747
署理	shu li	840
署署长	shu shu zhang	459
署长	shu zhang	631
罴	pi	57
罶	liu	3
罹	li	106
罹患	li huan	960
罹难	li nan	803
罽	ji	115
罾	zeng	9
羁	ji	212
羁押	ji ya	496
羁留	ji liu	121
羁绊	ji ban	431
羊	yang	9677
羊倌	yang guan	12
羊圈	yang juan	66
羊圈	yang quan	8
羊奶	yang nai	74
羊座	yang zuo	58
羊排	yang pai	297
羊杂	yang za	65
羊毛	yang mao	994
羊毛出在羊身上	yang mao chu zai yang shen shang	55
羊毛毯	yang mao tan	5
羊毛衫	yang mao shan	116
羊毫	yang hao	5
羊水	yang shui	15
羊汤	yang tang	254
羊皮	yang pi	302
羊皮筏	yang pi fa	8
羊皮纸	yang pi zhi	46
羊绒	yang rong	236
羊绒衫	yang rong shan	97
羊羔	yang gao	173
羊羹	yang geng	27
羊肉	yang rou	2538
羊肉串	yang rou chuan	719
羊肉汤	yang rou tang	454
羊肉泡馍	yang rou pao mo	322
羊肉火锅	yang rou huo guo	59
羊肠小道	yang chang xiao dao	7
羊腿	yang tui	225
羊膜	yang mo	72
羊角	yang jiao	217
羊角风	yang jiao feng	2
羊驼	yang tuo	410
羌	qiang	795
羌族	qiang zu	197
羌笛	qiang di	3
美	mei	201572
美不胜收	mei bu sheng shou	177
美中不足	mei zhong bu zu	353
美丽	mei li	22725
美丽的	mei li de	7250
美了	mei le	11019
美事	mei shi	32
美亚	mei ya	272
美人	mei ren	7320
美人蕉	mei ren jiao	32
美人计	mei ren ji	126
美人鱼	mei ren yu	1147
美优	mei you	329
美元	mei yuan	17164
美其名曰	mei qi ming yue	3
美军	mei jun	4771
美军第	mei jun di	111
美利坚合众国	mei li jian he zhong guo	285
美剧	mei ju	1733
美化	mei hua	800
美发	mei fa	949
美名	mei ming	63
美呆	mei dai	781
美味	mei wei	4284
美咲	mei xiao	350
美哒	mei da	324
美啊	mei a	5887
美国	mei guo	179789
美国国际	mei guo guo ji	202
美国银行	mei guo yin hang	66
美图	mei tu	2357
美图秀秀	mei tu xiu xiu	1485
美声	mei sheng	326
美奈	mei nai	263
美奖	mei jiang	575
美女	mei nv	1064
美好	mei hao	25817
美好的	mei hao de	9816
美妆	mei zhuang	753
美妆博	mei zhuang bo	7
美妆博主	mei zhuang bo zhu	649
美妙	mei miao	1239
美妞	mei niu	2995
美妞儿	mei niu er	218
美子	mei zi	871
美孚	mei fu	281
美学	mei xue	978
美容	mei rong	3430
美容师	mei rong shi	106
美少女	mei shao nv	6025
美属维尔京群岛	mei shu wei er jing qun dao	71
美属萨摩亚	mei shu sa mo ya	143
美工	mei gong	329
美差	mei chai	31
美式	mei shi	1425
美得	mei de	2123
美德	mei de	928
美意	mei yi	57
美感	mei gan	716
美拍	mei pai	471
美援	mei yuan	110
美援朝	mei yuan chao	271
美昕	mei xin	323
美星	mei xing	248
美景	mei jing	2771
美智子	mei zhi zi	169
美术	mei shu	6754
美术字	mei shu zi	11
美术学院	mei shu xue yuan	1054
美术家	mei shu jia	543
美术片	mei shu pian	23
美术界	mei shu jie	23
美术馆	mei shu guan	2794
美林	mei lin	236
美梦	mei meng	1766
美波	mei bo	222
美洲	mei zhou	5014
美浓	mei nong	619
美滋滋	mei zi zi	2944
美满	mei man	1224
美滨	mei bin	112
美炸	mei zha	426
美照	mei zhao	1503
美爆	mei bao	729
美猴儿王	mei hou er wang	1
美玉	mei yu	152
美玲	mei ling	403
美甲	mei jia	1344
美男子	mei nan zi	920
美白	mei bai	2216
美的	mei di	19033
美眉	mei mei	791
美禄	mei lu	55
美称	mei cheng	85
美穗	mei sui	224
美籍	mei ji	711
美纪	mei ji	149
美美哒	mei mei da	4214
美美的	mei mei di	4609
美联	mei lian	1000
美联储	mei lian chu	81
美联社	mei lian she	284
美育	mei yu	32
美腻	mei ni	2263
美色	mei se	57
美艳	mei yan	411
美莲	mei lian	58
美西	mei xi	180
美观	mei guan	446
美言	mei yan	101
美誉	mei yu	244
美谈	mei tan	42
美貌	mei mao	2333
美轮美奂	mei lun mei huan	16
美酒	mei jiu	302
美金	mei jin	1250
美铝	mei lv	250
美雪	mei xue	265
美露	mei lu	52
美颜	mei yan	5695
美食	mei shi	13198
美食城	mei shi cheng	95
美食家	mei shi jia	500
美食街	mei shi jie	198
美餐	mei can	55
羑	you	5
羓	ba	3
羔	gao	68
羔子	gao zi	9
羔皮	gao pi	25
羔羊	gao yang	286
羕	yang	9
羖	gu	2
羚	ling	583
羚牛	ling niu	12
羚羊	ling yang	229
羚羊角	ling yang jiao	7
羝	di	3
羞	xiu	3319
羞于	xiu yu	86
羞人	xiu ren	12
羞人答答	xiu ren da da	4
羞怯	xiu qie	34
羞恼	xiu nao	15
羞惭	xiu can	5
羞愤	xiu fen	21
羞愧	xiu kui	594
羞涩	xiu se	1925
羞答答	xiu da da	91
羞耻	xiu chi	1191
羞臊	xiu sao	2
羞赧	xiu nan	6
羞辱	xiu ru	683
羟	qiang	383
羟基	qiang ji	914
羡	xian	884
羡慕	xian mu	77539
羡慕了	xian mu le	2147
羡慕你	xian mu ni	10472
羡慕你们	xian mu ni men	3452
羡慕啊	xian mu a	3218
羡慕嫉妒	xian mu ji du	7399
羡慕我	xian mu wo	2288
羡慕的	xian mu de	2165
羡煞	xian sha	216
群	qun	24195
群主	qun zhu	507
群众	qun zhong	6622
群众关系	qun zhong guan xi	1
群众组织	qun zhong zu zhi	221
群众路线	qun zhong lu xian	64
群众运动	qun zhong yun dong	80
群体	qun ti	3941
群像	qun xiang	231
群口相声	qun kou xiang sheng	15
群婚	qun hun	5
群居	qun ju	203
群山	qun shan	216
群岛	qun dao	10057
群峰	qun feng	35
群情	qun qing	62
群星	qun xing	433
群殴	qun ou	329
群氓	qun meng	1
群消息	qun xiao xi	57
群演	qun yan	340
群策群力	qun ce qun li	18
群组	qun zu	835
群聊	qun liao	234
群聚	qun ju	197
群臣	qun chen	212
群芳	qun fang	79
群英	qun ying	212
群落	qun luo	227
群言堂	qun yan tang	3
群起	qun qi	119
群里	qun li	4668
群雄	qun xiong	152
群集	qun ji	63
群雕	qun diao	14
群魔乱舞	qun mo luan wu	91
群龙无首	qun long wu shou	42
羧	suo	274
羯	jie	217
羯座	jie zuo	30
