# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
由拥有	you yong you	44
甲醛中毒	jia quan zhong du	10
申请回避	shen qing hui bi	2
申请回避权	shen qing hui bi quan	9
电信安全	dian xin an quan	1
电信建设管理办法	dian xin jian she guan li ban fa	6
电信服务明码标价规定	dian xin fu wu ming ma biao jia gui ding	8
电信服务规范	dian xin fu wu gui fan	10
电力业务许可证制度	dian li ye wu xu ke zheng zhi du	5
电力企业信息报送规定	dian li qi ye xin xi bao song gui ding	6
电力企业信息披露规定	dian li qi ye xin xi pi lu gui ding	6
电力供应与使用条例	dian li gong ying yu shi yong tiao li	9
电力安全生产监管办法	dian li an quan sheng chan jian guan ban fa	5
电力市场监管办法	dian li shi chang jian guan ban fa	6
电力市场运营基本规则	dian li shi chang yun ying ji ben gui ze	7
电力监管信息公开办法	dian li jian guan xin xi gong kai ban fa	5
电子代理人	dian zi dai li ren	8
电子出版物管理规定	dian zi chu ban wu guan li gui ding	7
电子商务签名法	dian zi shang wu qian ming fa	3
电子支付指引	dian zi zhi fu zhi yin	10
电子版合同	dian zi ban he tong	6
电子签名人	dian zi qian ming ren	10
电子银行业务管理办法	dian zi yin hang ye wu guan li ban fa	9
电子银行安全评估指引	dian zi yin hang an quan ping gu zhi yin	8
电工入网证	dian gong ru wang zheng	5
电影审查规定	dian ying shen cha gui ding	6
电影导演方法	dian ying dao yan fang fa	2
电影法	dian ying fa	9
电梯应急指南	dian ti ying ji zhi nan	4
电磁辐射防护规定	dian ci fu she fang hu gui ding	8
电网运行规则	dian wang yun xing gui ze	5
电脑传票	dian nao chuan piao	5
电视剧审查管理规定	dian shi ju shen cha guan li gui ding	6
电视播音与主持	dian shi bo yin yu zhu chi	8
电视管理暂行办法	dian shi guan li zan xing ban fa	6
电视转播权	dian shi zhuan bo quan	4
电话计费	dian hua ji fei	11
界碑界桩	jie bei jie zhuang	4
留置调查法	liu zhi diao cha fa	2
登记主义	deng ji zhu yi	8
登记制度	deng ji zhi du	23
登记动产	deng ji dong chan	3
登记国	deng ji guo	2
登记地国	deng ji di guo	6
登记生效主义	deng ji sheng xiao zhu yi	9
登记移转	deng ji yi zhuan	5
登记过户	deng ji guo hu	12
登闻鼓院	deng wen gu yuan	6
白鹿洞规	bai lu dong gui	5
百分比合同	bai fen bi he tong	3
百度邮件新闻订阅	bai du you jian xin wen ding yue	6
皮下出血	pi xia chu xue	3
盆景作品	pen jing zuo pin	10
盈余公积金	ying yu gong ji jin	14
盐城市民政局	yan cheng shi min zheng ju	4
监守盗	jian shou dao	4
监狱经济体制改革研究	jian yu jing ji ti zhi gai ge yan jiu	4
监督体系	jian du ti xi	6
监督批评权	jian du pi ping quan	6
监督权	jian du quan	34
监督管理权限	jian du guan li quan xian	8
监视居住决定书	jian shi ju zhu jue ding shu	8
监视居住委托书	jian shi ju zhu wei tuo shu	2
盗伐林木罪	dao fa lin mu zui	10
盗打电话	dao da dian hua	10
盗掘古墓罪	dao jue gu mu zui	4
盗掘古墓葬罪	dao jue gu mu zang zui	8
盗窃枪支	dao qie qiang zhi	1
盗窃枪支弹药罪	dao qie qiang zhi dan yao zui	6
盗贼重法	dao zei zhong fa	6
目标作业法	mu biao zuo ye fa	2
目标成本计算法	mu biao cheng ben ji suan fa	4
目的犯	mu di fan	1
盲人协会	mang ren xie hui	4
盲人犯罪	mang ren fan zui	2
直接产权	zhi jie chan quan	5
直接代理	zhi jie dai li	12
直接侵权行为	zhi jie qin quan xing wei	8
直接利害关系人	zhi jie li hai guan xi ren	1
直接加害人	zhi jie jia hai ren	6
直接占有	zhi jie zhan you	11
直接因果关系	zhi jie yin guo guan xi	3
直接客体	zhi jie ke ti	10
直接承认	zhi jie cheng ren	12
直接报告业务	zhi jie bao gao ye wu	7
直接故意	zhi jie gu yi	5
直接法	zhi jie fa	12
直接言词原则	zhi jie yan ci yuan ze	8
直接调控	zhi jie tiao kong	2
直接调控方式向	zhi jie tiao kong fang shi xiang	2
直系血缘关系	zhi xi xue yuan guan xi	1
直线参谋制	zhi xian can mou zhi	5
直诉	zhi su	2
直诉制度	zhi su zhi du	6
直销法规知识解读	zhi xiao fa gui zhi shi jie du	2
直销计酬制度	zhi xiao ji chou zhi du	2
相关比率法	xiang guan bi lv fa	5
相对法律关系	xiang dui fa lv guan xi	8
相对确定性规范	xiang dui que ding xing gui fan	3
相对记载事项	xiang dui ji zai shi xiang	7
相对负刑事责任时期	xiang dui fu xing shi ze ren shi qi	4
相对集中行政处罚权	xiang dui ji zhong xing zheng chu fa quan	12
相应权益	xiang ying quan yi	10
省市自治区检察院	sheng shi zi zhi qu jian cha yuan	2
省议会暂行法	sheng yi hui zan xing fa	2
真正不作为犯	zhen zheng bu zuo wei fan	6
督查工作	du cha gong zuo	1
知名商品特有名称	zhi ming shang pin te you ming cheng	9
知识产权侵权民事救济	zhi shi chan quan qin quan min shi jiu ji	4
知识产权保护战略研究	zhi shi chan quan bao hu zhan lve yan jiu	4
知识产权保护范围	zhi shi chan quan bao hu fan wei	8
知识产权托管	zhi shi chan quan tuo guan	6
知识产权权利冲突	zhi shi chan quan quan li chong tu	8
知识产权民事保护	zhi shi chan quan min shi bao hu	3
知识产权法专业	zhi shi chan quan fa zhuan ye	6
知识产权海关保护条例	zhi shi chan quan hai guan bao hu tiao li	10
知识产权研究会	zhi shi chan quan yan jiu hui	3
知识产权经营	zhi shi chan quan jing ying	9
知识产权证券化	zhi shi chan quan zheng quan hua	7
知识产权请求权	zhi shi chan quan qing qiu quan	7
知识产权转让	zhi shi chan quan zhuan rang	1
知识产权转让合同	zhi shi chan quan zhuan rang he tong	3
知识产权间接侵权	zhi shi chan quan jian jie qin quan	4
知识薪酬	zhi shi xin chou	6
矫制矫诏	jiao zhi jiao zhao	2
矫正社会工作	jiao zheng she hui gong zuo	5
短期融资券管理办法	duan qi rong zi quan guan li ban fa	11
石家庄市行政执法条例	shi jia zhuang shi xing zheng zhi fa tiao li	2
石油和化学工业局	shi you he hua xue gong ye ju	2
石红英	shi hong ying	3
矿业权	kuang ye quan	9
矿业权利	kuang ye quan li	5
矿业权有偿取得	kuang ye quan you chang qu de	10
矿业权管理	kuang ye quan guan li	1
矿产资源所有权	kuang chan zi yuan suo you quan	9
研究生学籍管理规定	yan jiu sheng xue ji guan li gui ding	8
研究生法学	yan jiu sheng fa xue	7
破产债务人	po chan zhai wu ren	7
破产欺诈罪	po chan qi zha zui	5
破产终结	po chan zhong jie	4
破坏交通设备罪	po huai jiao tong she bei zui	6
破坏名胜古迹罪	po huai ming sheng gu ji zui	3
破坏性地震应急条例	po huai xing di zhen ying ji tiao li	8
破坏性采矿罪	po huai xing cai kuang zui	7
破坏永久性测量标志罪	po huai yong jiu xing ce liang biao zhi zui	3
破坏电力设备	po huai dian li she bei	12
破坏界碑界桩罪	po huai jie bei jie zhuang zui	2
破坏计算机信息系统罪	po huai ji suan ji xin xi xi tong zui	11
硬式谈判法	ying shi tan pan fa	4
硬贷款	ying dai kuan	9
硬预算约束	ying yu suan yue shu	7
确认不侵犯专利权诉讼	que ren bu qin fan zhuan li quan su song	3
社会主义公有制	she hui zhu yi gong you zhi	6
社会主义市场机制	she hui zhu yi shi chang ji zhi	7
社会主义法制理论读本	she hui zhu yi fa zhi li lun du ben	5
社会主义法律制定	she hui zhu yi fa lv zhi ding	6
社会主义法治国家	she hui zhu yi fa zhi guo jia	4
社会主义法治理念读本	she hui zhu yi fa zhi li nian du ben	3
社会互助	she hui hu zhu	12
社会互助制度	she hui hu zhu zhi du	6
社会优抚	she hui you fu	10
社会保险基金财务制度	she hui bao xian ji jin cai wu zhi du	7
社会保险稽核办法	she hui bao xian ji he ban fa	6
社会公德	she hui gong de	9
社会公知技术	she hui gong zhi ji shu	3
社会化用工	she hui hua yong gong	7
社会危害性	she hui wei hai xing	9
社会团体登记管理条例	she hui tuan ti deng ji guan li tiao li	11
社会在职人员	she hui zai zhi ren yuan	13
社会工作案例精选	she hui gong zuo an li jing xuan	2
社会工作者协会	she hui gong zuo zhe xie hui	10
社会文教支出	she hui wen jiao zhi chu	5
社会治安综合治理	she hui zhi an zong he zhi li	25
社会福利法	she hui fu li fa	1
社会集团购买力	she hui ji tuan gou mai li	10
社保公积金	she bao gong ji jin	8
社保政策	she bao zheng ce	11
社保转出程序	she bao zhuan chu cheng xu	2
社团产权	she tuan chan quan	5
祖父条款	zu fu tiao kuan	9
神州华茂	shen zhou hua mao	7
票据伪造	piao ju wei zao	8
票据承兑人	piao ju cheng dui ren	6
票据收款人	piao ju shou kuan ren	6
票据文句	piao ju wen ju	3
票据粘单	piao ju zhan dan	3
票据议付	piao ju yi fu	2
票面价额	piao mian jia e	5
禁止不当接触制度	jin zhi bu dang jie chu zhi du	2
禁止传销条例	jin zhi chuan xiao tiao li	2
禁止使用童工规定	jin zhi shi yong tong gong gui ding	10
禁止双重危险原则	jin zhi shuang chong wei xian yuan ze	5
禁止权利滥用原则	jin zhi quan li lan yong yuan ze	8
禁止流通物	jin zhi liu tong wu	8
禁止规范	jin zhi gui fan	8
禁止转让背书	jin zhi zhuan rang bei shu	4
禁止酷刑公约	jin zhi ku xing gong yue	10
禁止重复追究原则	jin zhi chong fu zhui jiu yuan ze	3
禁止非法使用武力	jin zhi fei fa shi yong wu li	4
禁治产宣告	jin zhi chan xuan gao	6
禁用标志	jin yong biao zhi	6
禁用集束炸弹公约	jin yong ji shu zha dan gong yue	4
福利分房制度	fu li fen fang zhi du	11
福州市除四害条例	fu zhou shi chu si hai tiao li	2
福建泉中律师事务所	fu jian quan zhong lv shi shi wu suo	10
福建省安全生产条例	fu jian sheng an quan sheng chan tiao li	4
离婚协议书	li hun xie yi shu	4
离婚法律问题指南	li hun fa lv wen ti zhi nan	4
离婚财产分割	li hun cai chan fen ge	1
私分罚没财产罪	si fen fa mei cai chan zui	3
私募法律	si mu fa lv	3
私放俘虏罪	si fang fu lu zui	5
私有产权	si you chan quan	6
私有财产权	si you cai chan quan	6
私有财产神圣不可侵犯	si you cai chan shen sheng bu ke qin fan	10
私立学校法	si li xue xiao fa	10
私自开拆	si zi kai chai	1
私自接受委托	si zi jie shou wei tuo	9
私营企业法	si ying qi ye fa	8
私营工商业	si ying gong shang ye	5
私营工商业者	si ying gong shang ye zhe	1
私营独资企业	si ying du zi qi ye	12
私闯民宅	si chuang min zhai	1
秋后问斩	qiu hou wen zhan	10
种子管理条例	zhong zi guan li tiao li	3
种族血缘	zhong zu xue yuan	5
种植业保险合同	zhong zhi ye bao xian he tong	2
种植制度	zhong zhi zhi du	1
科学技术工业委员会	ke xue ji shu gong ye wei yuan hui	13
科学技术普及法	ke xue ji shu pu ji fa	10
科托努协定	ke tuo nu xie ding	8
科研不端行为	ke yan bu duan xing wei	11
秘密拘捕	mi mi ju bu	7
秘密权行为	mi mi quan xing wei	3
秦伟立	qin wei li	3
秦半两	qin ban liang	3
秦希燕联合律师事务所	qin xi yan lian he lv shi shi wu suo	8
秩序维护员	zhi xu wei hu yuan	10
积极贿赂	ji ji hui lu	2
移植管理办法	yi zhi guan li ban fa	5
稀土领导小组	xi tu ling dao xiao zu	5
稀缺经济	xi que jing ji	8
程序违法	cheng xu wei fa	3
税务代理业务规程	shui wu dai li ye wu gui cheng	4
税务尽职调查	shui wu jin zhi diao cha	5
税务稽查报告	shui wu ji cha bao gao	8
税收代征人员	shui shou dai zheng ren yuan	3
税收优惠政策	shui shou you hui zheng ce	5
税收保全措施	shui shou bao quan cuo shi	12
税收单行法	shui shou dan xing fa	5
税收回报理论	shui shou hui bao li lun	4
税收强制执行制度	shui shou qiang zhi zhi xing zhi du	2
税收强制执行措施	shui shou qiang zhi zhi xing cuo shi	9
税收征收管理法	shui shou zheng shou guan li fa	1
税收执法检查规则	shui shou zhi fa jian cha gui ze	5
税收撤销权	shui shou che xiao quan	7
税收救济权	shui shou jiu ji quan	2
税收救济法	shui shou jiu ji fa	6
税收档板	shui shou dang ban	4
税收激励效应	shui shou ji li xiao ying	4
税收程序性权利	shui shou cheng xu xing quan li	6
税收管理权限	shui shou guan li quan xian	10
税收规范性文件	shui shou gui fan xing wen jian	10
税收课征权	shui shou ke zheng quan	3
税种登记	shui zhong deng ji	9
稳心高度	wen xin gao du	30
稳步增长	wen bu zeng zhang	21
穆斯林发展中八国集团	mu si lin fa zhan zhong ba guo ji tuan	4
空地税	kong di shui	2
空壳公司	kong ke gong si	34
空头转帐支票	kong tou zhuan zhang zhi piao	5
空姐溶尸案	kong jie rong shi an	3
空床费	kong chuang fei	11
空气空间	kong qi kong jian	1
空港服务	kong gang fu wu	2
空白背书	kong bai bei shu	10
空舱费	kong cang fei	7
空间效力	kong jian xiao li	9
空间效力范围	kong jian xiao li fan wei	6
空间权	kong jian quan	11
空间物体登记管理办法	kong jian wu ti deng ji guan li ban fa	4
空防安全	kong fang an quan	1
突发事件典型案例汇编	tu fa shi jian dian xing an li hui bian	3
突发事件应对法	tu fa shi jian ying dui fa	13
突发公共事件管理	tu fa gong gong shi jian guan li	8
窃照专用器材罪	qie zhao zhuan yong qi cai zui	6
窃电	qie dian	15
窃盗赃	qie dao zang	3
窑灰	yao hui	1
立即撤销委托	li ji che xiao wei tuo	2
立法宗旨	li fa zong zhi	4
站笼	zhan long	1
竞业禁止	jing ye jin zhi	6
竞业禁止合同	jing ye jin zhi he tong	8
章服制度	zhang fu zhi du	7
竺农范	zhu nong fan	4
笑刑	xiao xing	9
第一付款责任	di yi fu kuan ze ren	7
第一代独生子女	di yi dai du sheng zi nv	12
第一危险保险	di yi wei xian bao xian	2
第一女子侦探事务所	di yi nv zi zhen tan shi wu suo	4
第一审刑事判决书	di yi shen xing shi pan jue shu	7
第一审程序	di yi shen cheng xu	11
第一批异体字整理表	di yi pi yi ti zi zheng li biao	8
第一法律门户	di yi fa lv men hu	3
第一顺位继承人	di yi shun wei ji cheng ren	9
第一顺序继承人	di yi shun xu ji cheng ren	2
第三人侵害债权	di san ren qin hai zhai quan	9
第三人清偿	di san ren qing chang	6
第三人过错行为	di san ren guo cuo xing wei	3
第二审刑事判决书	di er shen xing shi pan jue shu	5
第二次答辩	di er ci da bian	7
第六次全国人口普查	di liu ci quan guo ren kou pu cha	5
第四次宪法修正案	di si ci xian fa xiu zheng an	6
等价有偿原则	deng jia you chang yuan ze	10
等同物替换	deng tong wu ti huan	5
签章	qian zhang	40
签订日期	qian ding ri qi	3
简单权益法	jian dan quan yi fa	6
管制刀具	guan zhi dao ju	22
粘性增值	nian xing zeng zhi	4
粤汉川汉铁路借款合同	yue han chuan han tie lu jie kuan he tong	3
粮食收购保护价	liang shi shou gou bao hu jia	8
粮食流通监督检查	liang shi liu tong jian du jian cha	11
精神抚慰金	jing shen fu wei jin	9
精神药品罪	jing shen yao pin zui	7
精神药物公约	jing shen yao wu gong yue	5
精神药物进出口准许证	jing shen yao wu jin chu kou zhun xu zheng	2
精神错乱辩护	jing shen cuo luan bian hu	6
精神障碍与犯罪	jing shen zhang ai yu fan zui	5
精神障碍者	jing shen zhang ai zhe	6
系统性金融危机	xi tong xing jin rong wei ji	7
索赔时效	suo pei shi xiao	1
红十字会法	hong shi zi hui fa	11
红十字标志使用办法	hong shi zi biao zhi shi yong ban fa	7
纤维检验	xian wei jian yan	12
约定回购	yue ding hui gou	8
约定条款内容	yue ding tiao kuan nei rong	4
约定解除	yue ding jie chu	11
约定财产制	yue ding cai chan zhi	1
约定违约金	yue ding wei yue jin	12
约束性保护	yue shu xing bao hu	4
纪检监察信访工作	ji jian jian cha xin fang gong zuo	9
纳税影响法	na shui ying xiang fa	7
纵向垄断协议	zong xiang long duan xie yi	7
纵联品牌法	zong lian pin pai fa	2
纸币流通规律	zhi bi liu tong gui lv	7
纺织品与服装协议	fang zhi pin yu fu zhuang xie yi	9
纺织品出口管理办法	fang zhi pin chu kou guan li ban fa	9
纽约公约	niu yue gong yue	10
纽约市立大学皇后学院	niu yue shi li da xue huang hou xue yuan	6
纽约金属交易所	niu yue jin shu jiao yi suo	6
组织健康报告法	zu zhi jian kang bao gao fa	2
组织越狱罪	zu zhi yue yu zui	7
终局行政行为	zhong ju xing zheng xing wei	4
终局裁决	zhong ju cai jue	11
终止劳动合同协议书	zhong zhi lao dong he tong xie yi shu	3
终止权	zhong zhi quan	12
终止生效时间	zhong zhi sheng xiao shi jian	2
终止用电	zhong zhi yong dian	7
终结执行	zhong jie zhi xing	3
终结罪恶	zhong jie zui e	7
经常性贷款	jing chang xing dai kuan	3
经常账户可兑换	jing chang zhang hu ke dui huan	3
经济体制改革委员会	jing ji ti zhi gai ge wei yuan hui	13
经济公益诉讼	jing ji gong yi su song	7
经济合作合同	jing ji he zuo he tong	7
经济合同仲裁委员会	jing ji he tong zhong cai wei yuan hui	9
经济合同法	jing ji he tong fa	13
经济合同法律关系	jing ji he tong fa lv guan xi	2
经济帮助	jing ji bang zhu	3
经济建设支出	jing ji jian she zhi chu	9
经济承受能力	jing ji cheng shou neng li	3
经济技术合作协定	jing ji ji shu he zuo xie ding	3
经济担保	jing ji dan bao	14
经济指标体系	jing ji zhi biao ti xi	8
经济案件级别管辖	jing ji an jian ji bie guan xia	4
经济检察	jing ji jian cha	6
经济法专业	jing ji fa zhuan ye	29
经济法主体研究	jing ji fa zhu ti yan jiu	3
经济法制手段	jing ji fa zhi shou duan	4
经济法学家	jing ji fa xue jia	13
经济法律行为	jing ji fa lv xing wei	7
经济法理论的重构	jing ji fa li lun de chong gou	1
经济法规研究中心	jing ji fa gui yan jiu zhong xin	2
经济法论丛	jing ji fa lun cong	2
经济犯罪案件	jing ji fan zui an jian	4
经济监督	jing ji jian du	2
经济等检察厅	jing ji deng jian cha ting	2
经济管理权	jing ji guan li quan	4
经济解释	jing ji jie shi	3
经济警察制度	jing ji jing cha zhi du	2
经济贸易办公室	jing ji mao yi ban gong shi	2
经研究	jing yan jiu	48
经营保险业务许可证	jing ying bao xian ye wu xu ke zheng	11
经营信息	jing ying xin xi	4
经营判断规则	jing ying pan duan gui ze	6
经营权租赁	jing ying quan zu lin	7
经营权转让	jing ying quan zhuan rang	9
经营自主权	jing ying zi zhu quan	1
经营许可证	jing ying xu ke zheng	28
结婚生育法律问题指南	jie hun sheng yu fa lv wen ti zhi nan	4
结婚登记颁证制度	jie hun deng ji ban zheng zhi du	6
结构价格	jie gou jia ge	9
结构优化	jie gou you hua	10
结构化产品	jie gou hua chan pin	10
结构化信托业务	jie gou hua xin tuo ye wu	3
结构失调	jie gou shi tiao	11
结构性矛盾突出	jie gou xing mao dun tu chu	13
结构扭曲	jie gou niu qu	1
结构票	jie gou piao	5
结构调整政策	jie gou tiao zheng zheng ce	2
结果加重犯	jie guo jia zhong fan	2
结核病防治管理办法	jie he bing fang zhi guan li ban fa	5
结清债权债务	jie qing zhai quan zhai wu	8
结算会员制度	jie suan hui yuan zhi du	7
绕规模贷款	rao gui mo dai kuan	5
绘画颜料与色彩指南	hui hua yan liao yu se cai zhi nan	2
给付性保险合同	ji fu xing bao xian he tong	3
给农民朋友讲刑法	gei nong min peng you jiang xing fa	3
绝对不定期刑	jue dui bu ding qi xing	5
绝对不能犯	jue dui bu neng fan	1
绝对保留事项	jue dui bao liu shi xiang	4
绝对剩余价值生产	jue dui sheng yu jia zhi sheng chan	8
绝对必要事项	jue dui bi yao shi xiang	3
绝对法律行为	jue dui fa lv xing wei	4
统一代码标识制度	tong yi dai ma biao zhi zhi du	7
统一会计制度	tong yi kuai ji zhi du	11
统一全国税政	tong yi quan guo shui zheng	1
统一实体规范	tong yi shi ti gui fan	6
统一汇票本票法公约	tong yi hui piao ben piao fa gong yue	4
统计执法检查规定	tong ji zhi fa jian cha gui ding	6
统计法实施细则	tong ji fa shi shi xi ze	9
统计监督职能	tong ji jian du zhi neng	5
统计调查证管理办法	tong ji diao cha zheng guan li ban fa	5
统配煤矿总公司	tong pei mei kuang zong gong si	1
继子女关系	ji zi nv guan xi	7
继承恢复请求权	ji cheng hui fu qing qiu quan	7
继承既得权	ji cheng ji de quan	3
继承法比较研究	ji cheng fa bi jiao yan jiu	2
继承纠纷维权必备	ji cheng jiu fen wei quan bi bei	4
继承纠纷锦囊	ji cheng jiu fen jin nang	4
继承遗产	ji cheng yi chan	14
继父母	ji fu mu	2
继父母子女关系	ji fu mu zi nv guan xi	8
绩效考核制度	ji xiao kao he zhi du	13
绩效问责制	ji xiao wen ze zhi	5
续展注册商标公告	xu zhan zhu ce shang biao gong gao	3
维也纳条约法公约	wei ye na tiao yue fa gong yue	4
维护尊严权	wei hu zun yan quan	6
维护社会公平正义	wei hu she hui gong ping zheng yi	13
维护科学尊严	wei hu ke xue zun yan	7
维持判决	wei chi pan jue	2
维持原判决	wei chi yuan pan jue	6
维斯比规则	wei si bi gui ze	9
维权与信访	wei quan yu xin fang	2
维权成本	wei quan cheng ben	1
维特伯爵回忆录	wei te bo jue hui yi lu	3
综合效益指标	zong he xiao yi zhi biao	7
综合管理类职位	zong he guan li lei zhi wei	11
综合计算工时制	zong he ji suan gong shi zhi	10
绿色产业与绿色产业法	lv se chan ye yu lv se chan ye fa	2
绿色市场认证实施规则	lv se shi chang ren zheng shi shi gui ze	5
绿色食品认证	lv se shi pin ren zheng	13
缅甸公司法	mian dian gong si fa	2
缔约权	di yue quan	8
缔约过失	di yue guo shi	13
缔约过失责任	di yue guo shi ze ren	12
缔结条约程序法	di jie tiao yue cheng xu fa	1
编辑作品	bian ji zuo pin	10
编辑工作手册	bian ji gong zuo shou ce	4
编辑权	bian ji quan	3
缘坐	yuan zuo	1
缘法而治	yuan fa er zhi	6
缺乏后劲	que fa hou jin	1
缺席判决	que xi pan jue	1
缺席审判	que xi shen pan	34
网盟营销	wang meng ying xiao	4
网站侵权	wang zhan qin quan	5
网络传播权	wang luo chuan bo quan	8
网络传播法律问题研究	wang luo chuan bo fa lv wen ti yan jiu	3
网络信用卡诈骗犯罪	wang luo xin yong ka zha pian fan zui	4
网络发言人	wang luo fa yan ren	10
网络后台实名制	wang luo hou tai shi ming zhi	2
网络安全法	wang luo an quan fa	26
网络文化经营许可证	wang luo wen hua jing ying xu ke zheng	13
网络法律制度	wang luo fa lv zhi du	4
网络犯罪	wang luo fan zui	16
网络犯罪公约	wang luo fan zui gong yue	1
网络知识产权法律保护	wang luo zhi shi chan quan fa lv bao hu	4
网络著作权侵权	wang luo zhu zuo quan qin quan	9
网络购物维权	wang luo gou wu wei quan	3
网络赌博	wang luo du bo	5
罗马法与现代民法	luo ma fa yu xian dai min fa	6
罚未遂	fa wei sui	6
罚没收入	fa mo shou ru	2
罢工权	ba gong quan	11
罪刑相适应原则	zui xing xiang shi ying yuan ze	2
罪犯英雄化	zui fan ying xiong hua	3
罪责自负原则	zui ze zi fu yuan ze	7
置业安居法律知识问答	zhi ye an ju fa lv zhi shi wen da	5
羁押制度与人权保障	ji ya zhi du yu ren quan bao zhang	3
美国专利法	mei guo zhuan li fa	2
美国住房政策	mei guo zhu fang zheng ce	7
美国刑事诉讼中的辩护	mei guo xing shi su song zhong de bian hu	2
美国劳动雇佣法	mei guo lao dong gu yong fa	4
美国史上的市场与法律	mei guo shi shang de shi chang yu fa lv	2
美国宪法第一章	mei guo xian fa di yi zhang	5
美国政府道德法	mei guo zheng fu dao de fa	3
美国最高法院内幕	mei guo zui gao fa yuan nei mu	3
美国枪支法	mei guo qiang zhi fa	1
美国法律呼悠谈	mei guo fa lv hu you tan	2
美国法律概况	mei guo fa lv gai kuang	3
美国法律英语	mei guo fa lv ying yu	2
美国法律辞典	mei guo fa lv ci dian	6
美国法的变迁	mei guo fa de bian qian	3
美国犯罪现场鉴	mei guo fan zui xian chang jian	5
美国电力市场	mei guo dian li shi chang	6
美国签证新政策	mei guo qian zheng xin zheng ce	2
美国红十字会	mei guo hong shi zi hui	17
美国联邦应急管理局	mei guo lian bang ying ji guan li ju	7
美国联邦最高法院判例	mei guo lian bang zui gao fa yuan pan li	5
美国非农就业指数	mei guo fei nong jiu ye zhi shu	5
美术品经营管理办法	mei shu pin jing ying guan li ban fa	6
翘尾因素	qiao wei yin su	13
翡翠分级标准	fei cui fen ji biao zhun	5
翻译人员	fan yi ren yuan	14
翻译名义集	fan yi ming yi ji	3
老旧运输船舶管理规定	lao jiu yun shu chuan bo guan li gui ding	7
老百姓法定权利指南	lao bai xing fa ding quan li zhi nan	5
老龄委	lao ling wei	2
考试法	kao shi fa	13
耕地占用税	geng di zhan yong shui	21
耕地占补平衡考核办法	geng di zhan bu ping heng kao he ban fa	8
聊城市中级人民法院	liao cheng shi zhong ji ren min fa yuan	8
职业健康与安全	zhi ye jian kang yu an quan	2
职业健康检查管理办法	zhi ye jian kang jian cha guan li ban fa	3
职业分工	zhi ye fen gong	1
职业医闹	zhi ye yi nao	10
职业安全健康管理制度	zhi ye an quan jian kang guan li zhi du	4
职业安全卫生	zhi ye an quan wei sheng	34
职业年金制度	zhi ye nian jin zhi du	7
职业技能鉴定证书	zhi ye ji neng jian ding zheng shu	8
职业特权	zhi ye te quan	7
职业犯	zhi ye fan	10
职业生涯管理制度	zhi ye sheng ya guan li zhi du	4
职业病伤残鉴定与赔偿	zhi ye bing shang can jian ding yu pei chang	2
职业病防治法	zhi ye bing fang zhi fa	13
职业责任保险合同	zhi ye ze ren bao xian he tong	3
职业责任险	zhi ye ze ren xian	10
职业道德与法律基础	zhi ye dao de yu fa lv ji chu	3
职业道德和法律法规	zhi ye dao de he fa lv fa gui	6
职业道德评价	zhi ye dao de ping jia	8
职业银行家	zhi ye yin hang jia	1
职位聘任	zhi wei pin ren	9
职务作品	zhi wu zuo pin	12
职务侵占	zhi wu qin zhan	10
职务侵占罪	zhi wu qin zhan zui	15
职务侵权	zhi wu qin quan	9
职务侵权行为	zhi wu qin quan xing wei	7
职务犯罪举报工作	zhi wu fan zui ju bao gong zuo	6
职务犯罪面面观	zhi wu fan zui mian mian guan	2
职务犯罪预防战略研究	zhi wu fan zui yu fang zhan lve yan jiu	3
职务行为	zhi wu xing wei	6
职工医疗费用	zhi gong yi liao fei yong	9
职工教育管理委员会	zhi gong jiao yu guan li wei yuan hui	6
职工董事制度	zhi gong dong shi zhi du	7
职权主义诉讼模式	zhi quan zhu yi su song mo shi	9
职权主义诉讼结构	zhi quan zhu yi su song jie gou	6
职权原则	zhi quan yuan ze	7
职称英语考试政策	zhi cheng ying yu kao shi zheng ce	5
职能管辖	zhi neng guan xia	8
职能转换	zhi neng zhuan huan	2
联合兼并	lian he jian bing	11
联合国千年首脑会议	lian he guo qian nian shou nao hui yi	9
联合国海洋法公约	lian he guo hai yang fa gong yue	31
联合国裁军审议委员会	lian he guo cai jun shen yi wei yuan hui	6
联合国贸易法委员会	lian he guo mao yi fa wei yuan hui	7
联营协议	lian ying xie yi	10
联邦成员法	lian bang cheng yuan fa	5
联邦水污染控制法	lian bang shui wu ran kong zhi fa	5
联邦贸易委员会法	lian bang mao yi wei yuan hui fa	8
聚众冲击军事禁区罪	ju zhong chong ji jun shi jin qu zui	5
聚众冲击国家机关罪	ju zhong chong ji guo jia ji guan zui	10
聚众扰乱交通秩序罪	ju zhong rao luan jiao tong zhi xu zui	8
聚众持械劫狱罪	ju zhong chi xie jie yu zui	6
聚众斗殴	ju zhong dou ou	10
聚众斗殴罪	ju zhong dou ou zui	6
肖像权纠纷	xiao xiang quan jiu fen	9
肖君拥	xiao jun yong	4
肖小勇	xiao xiao yong	1
肖建国	xiao jian guo	4
肖永平论冲突法	xiao yong ping lun chong tu fa	2
股东代位诉讼	gu dong dai wei su song	8
股东大会议事规则	gu dong da hui yi shi gui ze	15
股东总回报	gu dong zong hui bao	8
股份制企业	gu fen zhi qi ye	25
股份合作企业	gu fen he zuo qi ye	1
