# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
祥芝	xiang zhi	9
祥谦镇政府	xiang qian zhen zheng fu	2
祥运	xiang yun	6
祥龙乡	xiang long xiang	2
祥龙公交公司	xiang long gong jiao gong si	6
祭下	ji xia	3
祭台村	ji tai cun	5
祭酒岭	ji jiu ling	1
禄劝	lu quan	37
禄劝县	lu quan xian	16
禄安大街	lu an da jie	2
禄米仓	lu mi cang	17
禄米仓胡同	lu mi cang hu tong	2
禅城区政府	shan cheng qu zheng fu	10
福三中	fu san zhong	5
福东	fu dong	6
福东村	fu dong cun	3
福东路	fu dong lu	11
福中村	fu zhong cun	2
福临	fu lin	44
福临乡	fu lin xiang	3
福临街	fu lin jie	4
福丽特	fu li te	6
福乐智慧	fu le zhi hui	7
福井村	fu jing cun	1
福佑路	fu you lu	5
福佬人	fu lao ren	14
福佬话	fu lao hua	8
福光	fu guang	38
福光村	fu guang cun	3
福光路	fu guang lu	5
福全村	fu quan cun	1
福兴大道	fu xing da dao	5
福兴投资区	fu xing tou zi qu	2
福兴隆	fu xing long	4
福利农场	fu li nong chang	4
福利区	fu li qu	14
福利新村	fu li xin cun	4
福利村	fu li cun	4
福利达批发市场	fu li da pi fa shi chang	3
福利院	fu li yuan	36
福前农场	fu qian nong chang	1
福华一路	fu hua yi lu	7
福华三路	fu hua san lu	8
福华四路	fu hua si lu	4
福华新村	fu hua xin cun	1
福华街街道	fu hua jie jie dao	4
福华路	fu hua lu	8
福厦路	fu xia lu	4
福善庄乡	fu shan zhuang xiang	3
福喜公司	fu xi gong si	1
福四中	fu si zhong	2
福园	fu yuan	19
福地村	fu di cun	3
福场	fu chang	2
福场路	fu chang lu	1
福址村	fu zhi cun	2
福坎乡	fu kan xiang	3
福城街道	fu cheng jie dao	2
福埔	fu bu	3
福埔社区	fu bu she qu	3
福基	fu ji	37
福大东门	fu da dong men	5
福大北门	fu da bei men	4
福大新区东门	fu da xin qu dong men	3
福姜路	fu jiang lu	3
福字街	fu zi jie	6
福宁路	fu ning lu	5
福安县	fu an xian	13
福安大街	fu an da jie	3
福安市	fu an shi	15
福寿岭	fu shou ling	6
福寿村	fu shou cun	2
福寿桥	fu shou qiao	1
福寿路	fu shou lu	2
福寿里	fu shou li	4
福山县	fu shan xian	36
福山村	fu shan cun	3
福山路	fu shan lu	9
福屿新村	fu yu xin cun	2
福岭	fu ling	1
福岭村	fu ling cun	3
福峡路	fu xia lu	8
福州外国语学校	fu zhou wai guo yu xue xiao	1
福州展览城	fu zhou zhan lan cheng	1
福州广场	fu zhou guang chang	4
福州总院	fu zhou zong yuan	8
福州电视中心	fu zhou dian shi zhong xin	3
福州英才中学	fu zhou ying cai zhong xue	2
福州软件园	fu zhou ruan jian yuan	7
福州锅炉厂	fu zhou guo lu chang	3
福州高级中学	fu zhou gao ji zhong xue	1
福庆街	fu qing jie	5
福庭	fu ting	6
福建中路	fu jian zhong lu	9
福建北路	fu jian bei lu	1
福建医大	fu jian yi da	1
福建南安市官桥镇	fu jian nan an shi guan qiao zhen	3
福建南安市水头镇	fu jian nan an shi shui tou zhen	4
福建南路	fu jian nan lu	2
福建安溪县凤城镇	fu jian an xi xian feng cheng zhen	3
福建安溪县城厢镇	fu jian an xi xian cheng xiang zhen	2
福建工业学校	fu jian gong ye xue xiao	5
福建工程学院	fu jian gong cheng xue yuan	20
福建师大附中	fu jian shi da fu zhong	7
福建广播影视集团	fu jian guang bo ying shi ji tuan	6
福建德化县龙浔镇	fu jian de hua xian long xun zhen	2
福建惠安县崇武镇	fu jian hui an xian chong wu zhen	3
福建晋江市安海镇	fu jian jin jiang shi an hai zhen	5
福建晋江市永和镇	fu jian jin jiang shi yong he zhen	3
福建晋江市池店镇	fu jian jin jiang shi chi dian zhen	2
福建晋江市深沪镇	fu jian jin jiang shi shen hu zhen	3
福建晋江市磁灶镇	fu jian jin jiang shi ci zao zhen	4
福建晋江市金井镇	fu jian jin jiang shi jin jing zhen	3
福建晋江市陈埭镇	fu jian jin jiang shi chen dai zhen	3
福建晋江市龙湖镇	fu jian jin jiang shi long hu zhen	2
福建炼油厂	fu jian lian you chang	3
福建理工学校	fu jian li gong xue xiao	1
福建省宁德市	fu jian sheng ning de shi	38
福建省安溪县	fu jian sheng an xi xian	11
福建石狮市灵秀镇	fu jian shi shi shi ling xiu zhen	3
福建石狮市祥芝镇	fu jian shi shi shi xiang zhi zhen	3
福建石狮市蚶江镇	fu jian shi shi shi han jiang zhen	3
福建石狮市鸿山镇	fu jian shi shi shi hong shan zhen	3
福建神学院	fu jian shen xue yuan	6
福建福鼎市白琳镇	fu jian fu ding shi bai lin zhen	3
福建行政学院	fu jian xing zheng xue yuan	7
福建路	fu jian lu	27
福建龙海市石码镇	fu jian long hai shi shi ma zhen	4
福建龙海市角美镇	fu jian long hai shi jiao mei zhen	2
福强路	fu qiang lu	1
福录乡	fu lu xiang	2
福德村	fu de cun	16
福慧花园	fu hui hua yuan	2
福斗村	fu dou cun	2
福新	fu xin	8
福新东路	fu xin dong lu	6
福新支路	fu xin zhi lu	2
福新村	fu xin cun	2
福新路	fu xin lu	7
福新路口	fu xin lu kou	4
福昌	fu chang	46
福昌寺	fu chang si	1
福星公司	fu xing gong si	4
福星大	fu xing da	3
福星新村	fu xing xin cun	2
福星村	fu xing cun	7
福星花园社区	fu xing hua yuan she qu	3
福星门	fu xing men	3
福星集团	fu xing ji tuan	2
福春	fu chun	16
福春村	fu chun cun	1
福机	fu ji	5
福林村	fu lin cun	4
福林路	fu lin lu	5
福民新村	fu min xin cun	2
福民村	fu min cun	1
福民路	fu min lu	1
福永镇	fu yong zhen	5
福泉县	fu quan xian	5
福泉市	fu quan shi	5
福泉路	fu quan lu	2
福泰隆	fu tai long	5
福泰隆广场	fu tai long guang chang	2
福洋	fu yang	4
福洋村	fu yang cun	3
福海监狱	fu hai jian yu	5
福海街道	fu hai jie dao	5
福源	fu yuan	39
福源巷	fu yuan xiang	3
福溪	fu xi	25
福溪工业区	fu xi gong ye qu	3
福溪村	fu xi cun	2
福溪街道	fu xi jie dao	5
福滨新村	fu bin xin cun	3
福熙路	fu xi lu	4
福田中医院	fu tian zhong yi yuan	1
福田保税区	fu tian bao shui qu	8
福田公司	fu tian gong si	1
福田公墓	fu tian gong mu	17
福田南	fu tian nan	7
福田寺	fu tian si	12
福田村	fu tian cun	16
福田汽车站	fu tian qi che zhan	8
福田科技广场	fu tian ke ji guang chang	5
福田集团	fu tian ji tuan	1
福盈酒店	fu ying jiu dian	4
福盛社区	fu sheng she qu	2
福盛花园	fu sheng hua yuan	4
福石	fu shi	8
福石村	fu shi cun	4
福祥胡同	fu xiang hu tong	3
福祥路	fu xiang lu	3
福绥境	fu sui jing	2
福缘门社区	fu yuan men she qu	5
福美	fu mei	7
福美村	fu mei cun	3
福联	fu lian	2
福联村	fu lian cun	3
福胜街	fu sheng jie	4
福苑东区	fu yuan dong qu	3
福苑北区	fu yuan bei qu	2
福苑小区	fu yuan xiao qu	1
福贡	fu gong	20
福辉路	fu hui lu	1
福迪汽贸	fu di qi mao	3
福都	fu du	6
福都村	fu du cun	2
福铁	fu tie	1
福铁村	fu tie cun	3
福长街	fu chang jie	5
福阳	fu yang	17
福阳村	fu yang cun	3
福隆乡	fu long xiang	2
福隆园	fu long yuan	5
福雷德广场	fu lei de guang chang	6
福顺天天	fu shun tian tian	1
福飞路	fu fei lu	1
福马路	fu ma lu	1
福高	fu gao	6
福鼎县	fu ding xian	8
福鼎市	fu ding shi	30
福龙瑶族乡	fu long yao zu xiang	3
禹县	yu xian	30
禹城县	yu cheng xian	16
禹城市	yu cheng shi	13
禹州市	yu zhou shi	44
离心机厂	li xin ji chang	3
离石县	li shi xian	24
离石市	li shi shi	5
禾丰	he feng	16
禾丰布依族苗族乡	he feng bu yi zu miao zu xiang	1
禾兴	he xing	1
禾兴北路	he xing bei lu	1
禾兴路	he xing lu	2
禾尼乡	he ni xiang	1
禾山	he shan	40
禾山乡	he shan xiang	2
禾斛岭垦殖场	he hu ling ken zhi chang	3
禾洞农林场	he dong nong lin chang	3
禾洞镇	he dong zhen	5
禾滩乡	he tan xiang	4
禾祥西路	he xiang xi lu	1
禾驮乡	he tuo xiang	1
秀丽路	xiu li lu	4
秀华路	xiu hua lu	1
秀园	xiu yuan	34
秀园路	xiu yuan lu	1
秀城	xiu cheng	13
秀姑峦山	xiu gu luan shan	7
秀山中学	xiu shan zhong xue	5
秀山县	xiu shan xian	38
秀山村	xiu shan cun	3
秀屿	xiu yu	33
秀岩	xiu yan	27
秀峰里	xiu feng li	2
秀川街道	xiu chuan jie dao	6
秀川路	xiu chuan lu	7
秀州中学	xiu zhou zhong xue	11
秀州北路	xiu zhou bei lu	2
秀新路	xiu xin lu	4
秀月街	xiu yue jie	6
秀水苑	xiu shui yuan	7
秀水路	xiu shui lu	4
秀水道	xiu shui dao	2
秀江街道	xiu jiang jie dao	3
秀沿路	xiu yan lu	5
秀洲公园	xiu zhou gong yuan	1
秀涂	xiu tu	6
秀涂村	xiu tu cun	5
秀清路	xiu qing lu	3
秀溪	xiu xi	6
秀溪村	xiu xi cun	4
秀钟乡	xiu zhong xiang	2
秀麻乡	xiu ma xiang	2
私渡镇	si du zhen	4
秋冬美	qiu dong mei	1
秋坡	qiu po	4
秋实园	qiu shi yuan	1
秋实家园社区	qiu shi jia yuan she qu	3
秋山村	qiu shan cun	3
秋智乡	qiu zhi xiang	4
秋木乡	qiu mu xiang	2
秋林铺村	qiu lin pu cun	2
秋水云庐	qiu shui yun lu	1
秋水苑	qiu shui yuan	4
秋涛路	qiu tao lu	6
秋湖	qiu hu	7
秋溪	qiu xi	3
秋炉乡	qiu lu xiang	2
秋瑾故居	qiu jin gu ju	1
秋蚊子	qiu wen zi	8
秋长街道	qiu chang jie dao	3
秋霞路	qiu xia lu	8
种兔场	zhong tu chang	5
种养基地	zhong yang ji di	9
种子公司	zhong zi gong si	18
种子场	zhong zi chang	3
种子站	zhong zi zhan	5
种山	zhong shan	7
种猪场	zhong zhu chang	3
种福寺	zhong fu si	4
种福村	zhong fu cun	3
种禽公司	zhong qin gong si	5
种羊场	zhong yang chang	9
种获乡	zhong huo xiang	4
种蜂场	zhong feng chang	6
种马场	zhong ma chang	16
种鸭场	zhong ya chang	6
科丰桥南	ke feng qiao nan	4
科任村	ke ren cun	3
科克亚乡	ke ke ya xiang	1
科克浩特浩尔蒙古族乡	ke ke hao te hao er meng gu zu xiang	2
科克铁热克乡	ke ke tie re ke xiang	5
科创二街	ke chuang er jie	3
科力	ke li	9
科华中路南	ke hua zhong lu nan	1
科华北路	ke hua bei lu	14
科华南路北	ke hua nan lu bei	2
科华路二环路口	ke hua lu er huan lu kou	3
科博中心	ke bo zhong xin	2
科发路	ke fa lu	6
科名	ke ming	7
科学路街道	ke xue lu jie dao	3
科学院小区	ke xue yuan xiao qu	2
科山公园	ke shan gong yuan	2
科山村	ke shan cun	3
科才乡	ke cai xiang	2
科托努	ke tuo nu	18
科技一路	ke ji yi lu	1
科技三路	ke ji san lu	2
科技二路	ke ji er lu	1
科技二路中段	ke ji er lu zhong duan	3
科技五路	ke ji wu lu	6
科技六路	ke ji liu lu	8
科技六路中段	ke ji liu lu zhong duan	3
科技六路西段	ke ji liu lu xi duan	2
科技商贸学院	ke ji shang mao xue yuan	4
科技四路	ke ji si lu	2
科技四路东段	ke ji si lu dong duan	3
科技园中	ke ji yuan zhong	1
科技园南	ke ji yuan nan	4
科技大厦	ke ji da sha	12
科技大学管庄校区	ke ji da xue guan zhuang xiao qu	2
科技工业园	ke ji gong ye yuan	11
科技新村	ke ji xin cun	1
科技经济管理学院	ke ji jing ji guan li xue yuan	4
科技经营管理学院	ke ji jing ying guan li xue yuan	7
科技苑	ke ji yuan	6
科技谷	ke ji gu	8
科技路	ke ji lu	15
科技路小区	ke ji lu xiao qu	4
科技路西口	ke ji lu xi kou	2
科旺村	ke wang cun	3
科春社区	ke chun she qu	3
科煦社区	ke xu she qu	2
科研北路	ke yan bei lu	2
科苑花园	ke yuan hua yuan	5
科苑路	ke yuan lu	2
科荟桥东	ke hui qiao dong	2
科贸大厦	ke mao da sha	6
科龙空调	ke long kong tiao	7
秣陵路	mo ling lu	7
秦北	qin bei	2
秦团庄乡	qin tuan zhuang xiang	3
秦园居	qin yuan ju	5
秦始皇陵及兵马俑坑	qin shi huang ling ji bing ma yong keng	6
秦婷	qin ting	4
秦孟街	qin meng jie	4
秦宝小区	qin bao xiao qu	5
秦家河	qin jia he	4
秦家港村	qin jia gang cun	2
秦屯	qin tun	3
秦屹	qin yi	4
秦岭野生动物园	qin ling ye sheng dong wu yuan	1
秦川一分厂	qin chuan yi fen chang	4
秦桥乡	qin qiao xiang	4
秦洪桥	qin hong qiao	8
秦淮绿洲	qin huai lv zhou	4
秦潭港	qin tan gang	3
秦灶	qin zao	4
秦皇中路	qin huang zhong lu	5
秦皇南路	qin huang nan lu	4
秦皇寺	qin huang si	7
秦祁乡	qin qi xiang	3
秦老胡同	qin lao hu tong	9
秦西	qin xi	1
秦都	qin du	10
秦都中学	qin du zhong xue	3
秦都桥	qin du qiao	1
秦阿房宫	qin a fang gong	1
秧宅村	yang zhai cun	2
秧田乡	yang tian xiang	2
积善乡	ji shan xiang	1
积善新寓	ji shan xin yu	1
积家	ji jia	14
积水坝	ji shui ba	2
积水潭	ji shui tan	27
积石山保安族	ji shi shan bao an zu	1
积翠乡	ji cui xiang	5
积谷	ji gu	7
称文镇	cheng wen zhen	3
称钩湾	cheng gou wan	4
移动大厦	yi dong da sha	5
移坑	yi keng	2
移山乡	yi shan xiang	3
移村	yi cun	1
移民新村	yi min xin cun	11
移沿山村	yi yan shan cun	5
程介村	cheng jie cun	6
程各庄	cheng ge zhuang	1
程坊乡	cheng fang xiang	2
程埔头	cheng pu tou	3
程家山乡	cheng jia shan xiang	1
程家庄	cheng jia zhuang	3
程家村	cheng jia cun	2
程家桥	cheng jia qiao	14
程家窑村	cheng jia yao cun	4
程家营村	cheng jia ying cun	3
程庄路	cheng zhuang lu	7
程庄路北口	cheng zhuang lu bei kou	3
程庄路南口	cheng zhuang lu nan kou	3
程庄路口东	cheng zhuang lu kou dong	3
程戈庄	cheng ge zhuang	4
程明道	cheng ming dao	3
程晓玲	cheng xiao ling	5
程村村委会	cheng cun cun wei hui	2
程林庄	cheng lin zhuang	3
程林里	cheng lin li	3
程桥	cheng qiao	9
程桥村	cheng qiao cun	3
程油子乡	cheng you zi xiang	5
稍康村	shao kang cun	2
稍户营子镇	shao hu ying zi zhen	3
税务局巷	shui wu ju xiang	3
稔海	ren hai	4
稔湾	ren wan	17
稔田	ren tian	3
稠树塘镇	chou shu tang zhen	4
稳油控水	wen you kong shui	5
稷山营	ji shan ying	2
稻北社区	dao bei she qu	4
稻南社区	dao nan she qu	3
稻地	dao di	1
稻田村	dao tian cun	8
稻田村南	dao tian cun nan	2
稻田村南口	dao tian cun nan kou	4
稻西社区	dao xi she qu	2
稻谷仓	dao gu cang	5
稻香园	dao xiang yuan	5
稻香新村	dao xiang xin cun	5
稻香湖景	dao xiang hu jing	2
稽东	ji dong	4
稽山中学	ji shan zhong xue	1
穆厝	mu cuo	4
穆园子村	mu yuan zi cun	2
穆天子传	mu tian zi zhuan	6
穆家	mu jia	43
穆家峪	mu jia yu	8
穆村	mu cun	1
穆棱县	mu ling xian	5
穆棱市	mu ling shi	9
穗东街	sui dong jie	7
穗东街道	sui dong jie dao	4
穗石洞天	sui shi dong tian	1
穗香村	sui xiang cun	3
穴坊	xue fang	4
空下	kong xia	7
空了吹	kong liao chui	8
空军医院	kong jun yi yuan	27
空军指挥学院	kong jun zhi hui xue yuan	36
空军指挥学院南门	kong jun zhi hui xue yuan nan men	2
空军疗养院	kong jun liao yang yuan	6
空军驻地	kong jun zhu di	2
空壳树乡	kong ke shu xiang	6
空工院	kong gong yuan	1
空港物流开发区	kong gang wu liu kai fa qu	3
空港路	kong gang lu	5
空调器厂	kong tiao qi chang	2
空调大王	kong tiao da wang	4
空院门诊部	kong yuan men zhen bu	3
穿山	chuan shan	10
穿山河	chuan shan he	2
穿山街道	chuan shan jie dao	3
穿山路	chuan shan lu	1
穿石乡	chuan shi xiang	2
穿芳峪乡	chuan fang yu xiang	4
窄巷子	zhai xiang zi	9
窍角沱	qiao jiao tuo	1
窑上	yao shang	4
窑前	yao qian	2
窑前村	yao qian cun	1
窑厂	yao chang	32
窑场村	yao chang cun	3
窑坡	yao po	1
窑坡山	yao po shan	6
窑坪乡	yao ping xiang	2
窑头乡	yao tou xiang	2
窑头村	yao tou cun	9
窑子头乡	yao zi tou xiang	1
窑山花园	yao shan hua yuan	2
窑岭	yao ling	14
窑洼湖桥	yao wa hu qiao	6
窑洼湖桥东	yao wa hu qiao dong	4
窑湾街道	yao wan jie dao	7
窑里	yao li	8
窑里村	yao li cun	3
窑院村	yao yuan cun	2
窖口客运站	jiao kou ke yun zhan	5
窝子上	wo zi shang	4
窝子里	wo zi li	7
窝底乡	wo di xiang	2
窝赛乡	wo sai xiang	2
窦家庄	dou jia zhuang	3
窦店	dou dian	8
窦店汽车站	dou dian qi che zhan	3
窦店火车站	dou dian huo che zhan	2
窦店环岛	dou dian huan dao	3
窦店镇政府	dou dian zhen zheng fu	3
窦村	dou cun	5
立业大厦	li ye da sha	1
立丰船厂	li feng chuan chang	3
立交桥位置	li jiao qiao wei zhi	5
立信街	li xin jie	1
立发乡	li fa xiang	2
立坪	li ping	3
立垡村	li fa cun	3
立墩	li dun	6
立斋	li zhai	11
立新庄村	li xin zhuang cun	2
立新桥	li xin qiao	5
立新路	li xin lu	7
立水桥	li shui qiao	17
立水桥北站	li shui qiao bei zhan	2
立水桥南站	li shui qiao nan zhan	4
立汤路口	li tang lu kou	2
立节乡	li jie xiang	4
站东路	zhan dong lu	6
站儿巷镇	zhan er xiang zhen	4
站前环岛	zhan qian huan dao	2
站前环岛东	zhan qian huan dao dong	2
站前街	zhan qian jie	4
站前路	zhan qian lu	34
站北区	zhan bei qu	2
站北新村	zhan bei xin cun	6
站南街道	zhan nan jie dao	1
站岗乡	zhan gang xiang	2
站邻街	zhan lin jie	3
竞丰村	jing feng cun	2
竞舟路	jing zhou lu	3
竟陵街道	jing ling jie dao	4
章丘县	zhang qiu xian	44
章丘市	zhang qiu shi	30
章佳乡	zhang jia xiang	3
章党街道	zhang dang jie dao	1
章台镇	zhang tai zhen	1
章吉营乡	zhang ji ying xiang	3
章多乡	zhang duo xiang	1
章家坝	zhang jia ba	5
章家埭村	zhang jia dai cun	3
章家桥	zhang jia qiao	4
章庄	zhang zhuang	3
章灵寺	zhang ling si	1
章纳乡	zhang na xiang	4
章谷	zhang gu	9
章贡	zhang gong	3
章都	zhang du	9
章都乡	zhang du xiang	3
章里集乡	zhang li ji xiang	3
童南	tong nan	1
童卫路	tong wei lu	6
童坪	tong ping	2
童堡	tong bao	3
童家	tong jia	34
童家巷	tong jia xiang	4
童家院子	tong jia yuan zi	8
童市	tong shi	8
童店	tong dian	4
童村	tong cun	5
童王	tong wang	1
端履门	duan lv men	3
端芬	duan fen	6
竹亭	zhu ting	16
竹仔坑水库	zhu zi keng shui ku	2
竹仙洞	zhu xian dong	7
竹口	zhu kou	6
竹口村	zhu kou cun	1
竹叶坪乡	zhu ye ping xiang	6
竹园下	zhu yuan xia	2
竹园新村	zhu yuan xin cun	5
竹园村	zhu yuan cun	18
竹园背	zhu yuan bei	3
竹园路	zhu yuan lu	3
竹坑	zhu keng	27
竹坪村	zhu ping cun	6
竹垟乡	zhu yang xiang	3
竹塘路	zhu tang lu	6
竹墩村	zhu dun cun	4
竹头背	zhu tou bei	3
竹子园	zhu zi yuan	2
竹子林	zhu zi lin	14
竹子桥	zhu zi qiao	2
竹寿镇	zhu shou zhen	4
竹山下	zhu shan xia	3
竹山园	zhu shan yuan	6
竹山村	zhu shan cun	3
竹山路	zhu shan lu	2
竹工业区	zhu gong ye qu	2
竹巴龙	zhu ba long	4
竹巴龙乡	zhu ba long xiang	4
竹帘镇	zhu lian zhen	2
竹庆	zhu qing	11
竹庆乡	zhu qing xiang	4
竹径茶语	zhu jing cha yu	4
竹望山	zhu wang shan	4
竹杆巷	zhu gan xiang	2
竹杆社区	zhu gan she qu	6
竹杆胡同	zhu gan hu tong	2
竹林公路	zhu lin gong lu	3
竹林寺	zhu lin si	16
竹林巷	zhu lin xiang	4
竹林新村	zhu lin xin cun	3
竹林村	zhu lin cun	18
竹林路	zhu lin lu	18
竹树下	zhu shu xia	3
竹树下社区	zhu shu xia she qu	4
竹根村	zhu gen cun	4
竹榄	zhu lan	3
竹江	zhu jiang	5
竹江码头	zhu jiang ma tou	6
竹洲	zhu zhou	9
竹海水韵	zhu hai shui yun	5
竹湖	zhu hu	15
竹溪村	zhu xi cun	5
竹炉	zhu lu	3
竹瓦	zhu wa	3
竹瓦根镇	zhu wa gen zhen	6
竹竿巷	zhu gan xiang	6
竹笆市	zhu ba shi	3
竹管寺镇	zhu guan si zhen	6
竹舟江苗族乡	zhu zhou jiang miao zu xiang	3
竹苑	zhu yuan	19
竹苑小区	zhu yuan xiao qu	1
竹苑路	zhu yuan lu	5
竹行	zhu hang	1
竹贤乡	zhu xian xiang	4
竹阳村	zhu yang cun	3
竹阿觉乡	zhu a jue xiang	2
竹院乡	zhu yuan xiang	3
竹马塘	zhu ma tang	5
竹鱼坊	zhu yu fang	2
笃工街道	du gong jie dao	2
笃庆堂	du qing tang	3
笋岗仓库	sun gang cang ku	6
笋岗路	sun gang lu	3
笋浯社区	sun wu she qu	2
笔架山庄	bi jia shan zhuang	3
笔架山水厂	bi jia shan shui chang	6
笔架林场	bi jia lin chang	2
笔管胡同	bi guan hu tong	1
笕丁路口	jian ding lu kou	3
笤帚胡同	tiao zhou hu tong	4
符家	fu jia	16
符家川镇	fu jia chuan zhen	3
符山	fu shan	1
符江	fu jiang	1
符离集镇	fu li ji zhen	1
笨笨猪	ben ben zhu	3
第一农场	di yi nong chang	2
第一国际	di yi guo ji	38
第一桥	di yi qiao	10
第一牧场	di yi mu chang	6
第一监狱	di yi jian yu	32
第一粮库	di yi liang ku	2
第一羊毛衫厂	di yi yang mao shan chang	2
第一良种场	di yi liang zhong chang	2
第七医院	di qi yi yuan	6
第三加油站	di san jia you zhan	1
第三村	di san cun	8
第三监狱	di san jian yu	9
第三羊毛衫厂	di san yang mao shan chang	2
第二公墓	di er gong mu	6
第二农场	di er nong chang	2
第二外国语学院	di er wai guo yu xue yuan	30
第二桥	di er qiao	4
第二毛纺厂	di er mao fang chang	1
第二济困医院	di er ji kun yi yuan	6
第二炮兵工程学院	di er pao bing gong cheng xue yuan	6
第二粮库	di er liang ku	4
第二苗圃	di er miao pu	3
第二菜市场	di er cai shi chang	3
第二长话枢纽大楼	di er chang hua shu niu da lou	3
第五医院	di wu yi yuan	15
第什营乡	di shi ying xiang	4
第八堡乡	di ba pu xiang	2
第十甫	di shi fu	5
第四制药厂	di si zhi yao chang	4
第四村	di si cun	2
第四电器厂	di si dian qi chang	3
第四疃乡	di si tuan xiang	2
第四监狱	di si jian yu	6
笼底	long di	1
笼新	long xin	3
等驾坡	deng jia po	9
策达雅乡	ce da ya xiang	3
筛月亭	shai yue ting	3
筠连	yun lian	35
筲箕涂	shao ji tu	4
筷子路	kuai zi lu	8
筼筜	yun dang	5
筼筜湖	yun dang hu	2
简勇	jian yong	4
简华村	jian hua cun	2
简嘎乡	jian ga xiang	1
简家桥	jian jia qiao	2
简家湾村	jian jia wan cun	2
简易路	jian yi lu	7
简村	jian cun	5
简池镇	jian chi zhen	4
简阳县	jian yang xian	9
简阳市	jian yang shi	36
简阳路	jian yang lu	3
箐河傈僳族乡	qing he li su zu xiang	3
箕漕街	ji cao jie	2
算山	suan shan	4
算球	suan qiu	25
箜篌	kong hou	25
管公	guan gong	2
管华诗	guan hua shi	1
管园	guan yuan	4
管坪村	guan ping cun	3
管城回族	guan cheng hui zu	37
管埭村	guan dai cun	2
管头	guan tou	9
管山	guan shan	5
管帅	guan shuai	3
管庄	guan zhuang	26
管庄惠河建材市场	guan zhuang hui he jian cai shi chang	2
管庄村委会	guan zhuang cun wei hui	2
管庄村村委会	guan zhuang cun cun wei hui	2
管弄新村	guan nong xin cun	5
管窑	guan yao	5
管道液化气公司	guan dao ye hua qi gong si	3
管道煤气公司	guan dao mei qi gong si	5
管陶村	guan tao cun	3
箭厂	jian chang	4
箭厂胡同	jian chang hu tong	1
箭口	jian kou	3
箭弓山	jian gong shan	6
箭杆胡同	jian gan hu tong	4
篁碧乡	huang bi xiang	4
篦子街街道	bi zi jie jie dao	2
篦箕巷	bi ji xiang	5
篱笆房	li ba fang	1
簇桥	cu qiao	16
簇桥街道	cu qiao jie dao	6
簕竹镇	le zhu zhen	5
簰洲湾镇	pai zhou wan zhen	5
簸箕山	bo ji shan	1
簸箕掌	bo ji zhang	2
簸箕营村	bo ji ying cun	3
簸箕街	bo ji jie	4
簸萁	bo qi	4
米仓道	mi cang dao	6
米坑	mi keng	17
米家务乡	mi jia wu xiang	3
米家垣乡	mi jia yuan xiang	3
米家堡	mi jia bao	5
米家堡村	mi jia bao cun	5
米家村	mi jia cun	4
米尔福德港	mi er fu de gang	2
米市大街	mi shi da jie	8
米市巷	mi shi xiang	2
米市河	mi shi he	3
米市镇	mi shi zhen	3
米林镇	mi lin zhen	2
米泉县	mi quan xian	3
米泉市	mi quan shi	6
米秦路西口	mi qin lu xi kou	3
米粉店	mi fen dian	1
米粉馆	mi fen guan	4
米粮屯	mi liang tun	3
米粮库	mi liang ku	1
米粮库社区	mi liang ku she qu	3
米粮库胡同	mi liang ku hu tong	1
米粮泉回族民族乡	mi liang quan hui zu min zu xiang	4
米罗街	mi luo jie	1
米良乡	mi liang xiang	6
米贝苗族乡	mi bei miao zu xiang	2
米龙	mi long	7
米龙乡	mi long xiang	5
粉厂	fen chang	6
粉厂胡同	fen chang hu tong	4
粉子胡同	fen zi hu tong	4
粉巷	fen xiang	22
粉房琉璃街社区	fen fang liu li jie she qu	4
粉铺	fen pu	3
粗坑	cu keng	18
粗石坑	cu shi keng	4
粟特文	su te wen	18
粤东会馆	yue dong hui guan	9
粤北医院	yue bei yi yuan	7
粤北工业开发区	yue bei gong ye kai fa qu	5
粤华园	yue hua yuan	2
粤华西	yue hua xi	3
粤汉街道	yue han jie dao	3
粤海花园	yue hai hua yuan	2
粤秀松涛	yue xiu song tao	3
粤秀连峰	yue xiu lian feng	3
粪厂	fen chang	3
粮丰街	liang feng jie	4
粮机厂	liang ji chang	4
粮校	liang xiao	6
粮油市场	liang you shi chang	11
粮油机械厂	liang you ji xie chang	1
粮管所	liang guan suo	1
粮道街	liang dao jie	19
粮食加工厂	liang shi jia gong chang	2
粮食店街	liang shi dian jie	6
粱山	liang shan	3
粽粑乡	zong ba xiang	4
精武门	jing wu men	17
精河	jing he	29
精细化工厂	jing xi hua gong chang	8
精英大厦	jing ying da sha	3
糖坊	tang fang	2
糖坊巷	tang fang xiang	4
糖坊廊	tang fang lang	3
糖坊桥	tang fang qiao	1
糖房	tang fang	3
糖房大院	tang fang da yuan	2
糖果厂	tang guo chang	10
糖烟酒	tang yan jiu	1
糖烟酒公司	tang yan jiu gong si	2
糟坊巷	zao fang xiang	3
素抓饭	su zhua fan	2
素社街道	su she jie dao	5
素龙街道	su long jie dao	1
索加乡	suo jia xiang	6
索呼日麻乡	suo hu ri ma xiang	2
索家坟	suo jia fen	5
索家坟村	suo jia fen cun	2
索家坟第二社区	suo jia fen di er she qu	2
索池乡	suo chi xiang	3
索溪峪土家族乡	suo xi yu tu jia zu xiang	4
索罟群岛	suo gu qun dao	1
