# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词|假名	[词性. ]译词|假名
㑇	n. 㑇
笛卡尔	n. デカルト|でかると
笛奏龙吟水	phr. 笛は龍吟水を奏でる|ふえはりゅうぎんすいをかなでる
笛子	n. 笛|ふえ
笛膜	n. 笛の膜|ふえのまく
笞	v. むち打つ|むちうつ
笠	n. 笠|かさ
笠原	n. 笠原|かさはら
笠腹希蛛	n. 笠腹希蛛|かさばらきちゅ
笠贝	n. カサガイ|かさがい
笤	n. ほうき|ほうき
笤帚	n. ほうき|ほうき
笤帚胡同	n. 箒胡同|ほうきこどう
笥	n. 笥|け
符	n. お札|おふだ
符号	n. 記号|きごう
符号分析	n. 記号解析|きごうかいせき
符号常量	n. 記号定数|きごうていすう
符号执行	n. シンボリック実行|シンボリックじっこう
符号文件	n. シンボルファイル|シンボルファイル
符号的	adj. 記号の|きごうの
符号编码	n. 符号化|ふごうか
符号表	n. 記号表|きごうひょう
符号计算	n. 記号計算|きごうけいさん
符号语言	n. 手話|しゅわ
符号逻辑	n. 記号論理学|きごうろんりがく
符号链接	n. シンボリックリンク|しんぼりっくりんく
符号间干扰	n. 符号間干渉|ふごうかんかんしょう
符合	v. 合致する|がっちする
符合条件	phr. 条件を満たす|じょうけんをみたす
符咒	n. 呪符|じゅふ
符家	n. 符家|ふけ
符家川镇	n. 符家川鎮|ふかせんちん
符山	n. 符山|ふざん
符廷贵	n. 符廷貴|ふていき
符拉	n. ウラジ|うらじ
符文	n. ルーン|ルーン
符曾	n. 符曾|ふそう
符江	n. 符江|ふこう
符禺山	n. 符禺山|ふうさん
符离集镇	n. 符離集鎮|ふりしゅうちん
符腾	n. ヴュルテンベルク|ヴュルテンベルク
符腾堡	n. ヴュルテンベルク|ヴゅるてんべるく
符腾堡州	n. ヴュルテンベルク|ヴュルテンベルク
符馨尹	n. 符馨尹|ふけいいん
符验	n. 符験|ふけん
笨	adj. バカ|バカ
笨伯	n. 馬鹿|ばか
笨啊	int. バカだな|バカだな
笨嘴拙舌	adj. 口下手な|くちべたな
笨头笨脑	adj. 頭が悪い|あたまがわるい
笨手笨脚	adj. 不器用|ぶきよう
笨拙	adj. 不器用|ぶきよう
笨月饼	n. 不器用な月餅|ぶきようなげっぺい
笨死	adj. バカみたい|ばかみたい
笨死了	adj. すごくバカ|すごくばか
笨活儿	n. 力仕事|ちからしごと
笨的	adj. 愚かな|おろかな
笨笨	adj. 愚かな|おろかな
笨笨森林日志	n. ベンベン森林日誌|ベンベンしんりんにっし
笨笨森林日记	n. ベンベン森林日記|ベンベンしんりんにっき
笨笨猪	n. バカ豚|バカぶた
笨蛋	n. 馬鹿|ばか
笨重	adj. 重い|おもい
笨鸟先飞	phr. 遅い鳥は先に飛ぶ|おそいとりはさきにとぶ
笪	n. 笪|たつ
笪重光	n. 笪重光|だちょうこう
笫	n. 寝台|しんだい
第	第|だい
第一	num. 第一|だいいち
第一个	num. 最初の|さいしょの
第一个月	phr. 最初の月|さいしょのつき
第一中学	n. 第一中学校|だいいちちゅうがっこう
第一书记	n. 第一書記|だいいちしょき
第一产业	n. 第一次産業|だいいちじさんぎょう
第一人	n. 第一人者|だいいちにんしゃ
第一人称	n. 一人称|いちにんしょう
第一付款责任	n. 第一次支払責任|だいいちじしはらいせきにん
第一代	n. 第一世代|だいいちせだい
第一代独生子女	n. 第一世代の一人っ子|だいいちせだいのひとりっこ
第一代计算机	n. 第一世代コンピュータ|だいいちせだいこんぴゅーた
第一代语言	n. 第一世代言語|だいいちせだいげんご
第一件	phr. 最初の物|さいしょのもの
第一件事	phr. 最初のこと|さいしょのこと
第一任	n. 初代|しょだい
第一份	n. 第一号|だいいちごう
第一位	n. 第一位|だいいちい
第一信号系统	n. 第一信号系|だいいちしんごうけい
第一农场	n. 第一農場|だいいちのうじょう
第一医院	n. 第一病院|だいいちびょういん
第一印象	n. 第一印象|だいいちいんしょう
第一危险保险	n. 第一危険保険|だいいちきけんほけん
第一卷	n. 第一巻|だいいっかん
第一反应	n. 最初の反応|さいしょのはんのう
第一句	n. 最初の文|さいしょのぶん
第一句话	phr. 最初の文|さいしょのぶん
第一台	phr. 一台目|いちだいめ
第一名	n. 一位|いちい
第一周	n. 第一週|だいいっしゅう
第一回	n. 第一回|だいいっかい
第一国际	n. 第一インターナショナル|だいいちインターナショナル
第一圈	n. 一周目|いっしゅうめ
第一场	phr. 第一試合|だいいちしあい
第一场雪	n. 初雪|はつゆき
第一天	n. 初日|しょにち
第一夫人	n. ファーストレディ|ファーストレディ
第一套	phr. 第一セット|だいいちセット
第一季	n. 第1シーズン|だいいちしーずん
第一审	n. 第一審|だいいっしん
第一审刑事判决书	n. 第一審刑事判決書|だいいっしんけいじはんけつしょ
第一审程序	n. 第一審手続|だいいっしんてつづき
第一家	n. 第一号店|だいいちごうてん
第一小颚	n. 第一小顎|だいいちしょうがく
第一层	n. 一階|いっかい
第一届	n. 第一回|だいいっかい
第一年	n. 一年目|いちねんめ
第一座	n. 最初の席|さいしょのせき
第一张	phr. 一枚目|いちまいめ
第一性	n. 第一性|だいいちせい
第一感觉	n. 第一印象|だいいちいんしょう
第一手	adj. 直接の|ちょくせつの
第一批	n. 第一陣|だいいちじん
第一把手	n. 第一人者|だいいちにんしゃ
第一排	n. 最前列|さいぜんれつ
第一支	phr. 最初の|さいしょの
第一时间	n. 第一时间|だいいちじかん
第一春	n. 最初の春|さいしょのはる
第一是	phr. 第一は|だいいちは
第一期	n. 第一期|だいいっき
第一本	n. 第一巻|だいいっかん
第一条	n. 第一条|だいいちじょう
第一极体	n. 第一極体|だいいちきょくたい
第一桥	n. 最初の橋|さいしょのはし
第一次	n. 初めて|はじめて
第一次启动	n. 初回起動|しょかいきどう
第一款	n. 第一項|だいいっこう
第一步	n. 第一歩|だいいっぽ
第一汽车集团公司	n. 第一汽車グループ|だいいちきしゃぐるーぷ
第一法律门户	n. 第一法律ポータル|だいいちほうりつポータル
第一波	n. 第一波|だいいちは
第一流	adj. 一流の|いちりゅうの
第一版	n. 初版|しょはん
第一牧场	n. 第一牧場|だいいちぼくじょう
第一百	num. 百番目|ひゃくばんめ
第一监狱	n. 第一刑務所|だいいちけいむしょ
第一眼	n. 一目|ひとめ
第一种	n. 第一種|だいいっしゅ
第一站	n. 最初の停留所|さいしょのていりゅうじょ
第一章	n. 第一章|だいいっしょう
第一箱油	n. 最初の給油|さいしょのきゅうゆ
第一篇	n. 第一篇|だいいっぺん
第一粮库	n. 第一食糧倉庫|だいいちしょくりょうそうこ
第一级	n. 第一級|だいいっきゅう
第一线	n. 第一線|だいいっせん
第一组	n. 第一グループ|だいいちグループ
第一羊毛衫厂	n. 第一セーター工場|だいいちせーたーこうじょう
第一艘	phr. 最初の船|さいしょのふね
第一良种场	n. 第一優良種子農場|だいいちゆうりょうしゅしのうじょう
第一节	n. 第一節|だいいっせつ
第一范式	n. 第一正規形|だいいちせいきけい
第一触角	n. 第一触角|だいいちしょっかく
第一财经	n. 第一財経|だいいちざいけい
第一财经日报	n. 第一財経日報|だいいちざいけいにっぽう
第一轮	n. 第一ラウンド|だいいちラウンド
第一遍	phr. 一回目|いっかいめ
第一部	n. 第一部|だいいちぶ
第一部分	n. 第一部|だいいちぶ
第一间	phr. 最初の部屋|さいしょのへや
第一阶段	n. 第一段階|だいいちだんかい
第一集	n. 第一話|だいいちわ
第一页	n. 最初のページ|さいしょのぺーじ
第一项	n. 第一項|だいいっこう
第一顺位继承人	n. 第一順位相続人|だいいちじゅんいそうぞくにん
第一顺序继承人	n. 第一順位相続人|だいいちじゅんいそうぞくにん
第一颗	phr. 最初の一つ|さいしょのひとつ
第一食品	n. 第一食品|だいいちしょくひん
第一首	phr. 最初の曲|さいしょのきょく
第七	num. 第七|だいなな
第七个	num. 七番目|ななばんめ
第七代	n. 第七世代|だいななせだい
第七医院	n. 第七病院|だいななびょういん
第七十	num. 第七十|だいしちじゅう
第七名	n. 第七位|だいなない
第七大道	n. 七番街|ななばんがい
第七季	n. 第7シーズン|だいななしーずん
第七届	phr. 第七回|だいななかい
第七张	phr. 七枚目|ななまいめ
第七批	n. 第七陣|だいななしちじん
第七次	n. 七回目|ななかいめ
第七集	n. 第7話|だいななわ
第三	num. 第三|だいさん
第三世界	n. 第三世界|だいさんせかい
第三个	phr. 三番目|さんばんめ
第三中学	n. 第三中学校|だいさんちゅうがっこう
第三产业	n. 第三次産業|だいさんじさんぎょう
第三人侵害债权	n. 第三者による債権侵害|だいさんしゃによるさいけんしんがい
第三人清偿	n. 第三者弁済|だいさんしゃべんさい
第三人称	n. 三人称|さんにんしょう
第三人过错行为	n. 第三者の過失行為|だいさんしゃのかしつこうい
第三代	n. 第三世代|だいさんせだい
第三代计算机	n. 第三世代コンピュータ|だいさんせだいこんぴゅーた
第三代语言	n. 第三世代言語|だいさんせだいげんご
第三位	n. 第三位|だいさんい
第三加油站	n. 第三給油所|だいさんきゅうゆしょ
第三医院	n. 第三病院|だいさんびょういん
第三十	num. 第三十|だいさんじゅう
第三十七	num. 第三十七|だいさんじゅうなな
第三十三	num. 第三十三|だいさんじゅうさん
第三十九	num. 第三十九|だいさんじゅうきゅう
第三十二	num. 第三十二|だいさんじゅうに
第三十五	num. 第三十五|だいさんじゅうご
第三十八	num. 第三十八|だいさんじゅうはち
第三十六	num. 第三十六|だいさんじゅうろく
第三十四	num. 第三十四|だいさんじゅうよん
第三名	n. 第三位|だいさんい
第三周	n. 第三週|だいさんしゅう
第三场	n. 第三試合|だいさんしあい
第三大	adj. 第三の|だいさんの
第三天	n. 三日目|みっかめ
第三季	n. 第3シーズン|だいさんシーズン
第三届	phr. 第三回|だいさんかい
第三师	n. 第三師団|だいさんしだん
第三年	n. 三年目|さんねんめ
第三度	n. 三度目|さんどめ
第三张	phr. 三枚目|さんまいめ
第三批	phr. 第三陣|だいさんじん
第三方	n. 第三者|だいさんしゃ
第三方分享	n. 第三者共有|だいさんしゃきょうゆう
第三方包	n. サードパーティパッケージ|サードパーティパッケージ
第三方字体	n. サードパーティフォント|サードパーティフォント
第三方工具	n. サードパーティツール|サードパーティツール
第三方平台	n. サードパーティプラットフォーム|サードパーティプラットフォーム
第三方库	n. サードパーティライブラリ|サードパーティライブラリ
第三方库使用	n. サードパーティライブラリ使用|サードパーティライブラリしよう
第三方库管理	phr. サードパーティライブラリ管理|さーどぱーてぃらいぶらりかんり
第三方应用	n. サードパーティーアプリ|サードパーティーアプリ
第三方接口	n. サードパーティAPI
第三方控件	n. サードパーティ製コントロール|さーどぱーてぃせいこんとろーる
第三方插件	n. サードパーティプラグイン|サードパーティプラグイン
第三方支付	n. 第三者決済|だいさんしゃけっさい
第三方服务	n. 第三者サービス|だいさんしゃサービス
第三方框架	n. サードパーティフレームワーク|サードパーティフレームワーク
第三方模块	n. サードパーティ製モジュール|さーどぱーてぃせいもじゅーる
第三方登录	n. サードパーティーログイン|サードパーティーログイン
第三方登陆	n. サードパーティーログイン|サードパーティーログイン
第三方类	n. サードパーティクラス|サードパーティクラス
第三方类库	n. サードパーティライブラリ|サードパーティライブラリ
第三方资源	n. サードパーティー資源|サードパーティーしげん
第三方集成	n. サードパーティ統合|サードパーティとうごう
第三期	n. 第三期|だいさんき
第三村	n. 第三村|だいさんそん
第三条	phr. 第三条|だいさんじょう
第三梯队	n. 第三梯団|だいさんていだん
第三次	phr. 三回目|さんかいめ
第三波	n. 第三の波|だいさんのなみ
第三百	num. 第三百|だいさんびゃく
第三监狱	n. 第三刑務所|だいさんけいむしょ
第三磨牙	n. 第三大臼歯|だいさんだいきゅうし
第三种	n. 第三種|だいさんしゅ
第三章	n. 第三章|だいさんしょう
第三章习题	n. 第三章の演習問題|だいさんしょうのえんしゅうもんだい
第三级	n. 第三級|だいさんきゅう
第三羊毛衫厂	n. 第三セーター工場|だいさんセーターこうじょう
第三者	n. 第三者|だいさんしゃ
第三肝门	n. 第三肝門|だいさんかんもん
第三脑室	n. 第三脳室|だいさんのうしつ
第三节	n. 第三節|だいさんせつ
第三轮	n. 第三ラウンド|だいさんラウンド
第三部	n. 第三部|だいさんぶ
第三阶段	n. 第三段階|だいさんだんかい
第三集	n. 第三話|だいさんわ
第三首	phr. 三曲目|さんきょくめ
第九	num. 第九|だいきゅう
第九十	num. 第九十|だいきゅうじゅう
第九名	n. 第九位|だいきゅうい
第九届	n. 第九回|だいきゅうかい
第九集	n. 第9話|だいきゅうわ
第二	num. 第二|だいに
第二个	phr. 二番目|にばんめ
第二中学	n. 第二中学校|だいにちゅうがっこう
第二产业	n. 第二次産業|だいにじさんぎょう
第二人民医院	n. 第二人民病院|だいにじんみんびょういん
第二人称	n. 二人称|ににんしょう
第二代	n. 第二世代|だいにせだい
第二代计算机	n. 第二世代コンピュータ|だいにせだいコンピュータ
第二代语言	n. 第二世代言語|だいにせだいげんご
第二任	n. 二期目|にきめ
第二位	n. 二位|にい
第二信使	n. セカンドメッセンジャー|セカンドメッセンジャー
第二信号系统	n. 第二信号系|だいにしんごうけい
第二公墓	n. 第二墓地|だいにぼち
第二农场	n. 第二農場|だいにのうじょう
第二医院	n. 第二病院|だいにびょういん
第二十	num. 第二十|だいにじゅう
第二十一	num. 第二十一|だいにじゅういち
第二十七	num. 第二十七|だいにじゅうなな
第二十三	num. 第二十三|だいにじゅうさん
第二十九	num. 第二十九|だいにじゅうきゅう
第二十二	num. 第二十二|だいにじゅうに
第二十五	num. 第二十五|だいにじゅうご
第二十八	num. 第二十八|だいにじゅうはち
第二十六	num. 第二十六|だいにじゅうろく
第二十四	num. 第二十四|だいにじゅうよん
第二十届	phr. 第二十回|だいにじっかい
第二卷	n. 第二巻|だいにかん
第二句	n. 二番目の文|にばんめのぶん
第二名	n. 二位|にい
第二周	n. 第二週|だいにしゅう
第二回	n. 第二回|だいにかい
第二场	n. 第二試合|だいにしあい
第二外国语学院	n. 第二外国語学院|だいにがいこくごがくいん
第二大	adj. 二番目に大きい|にばんめにおおきい
第二天	n. 翌日|よくじつ
第二套	n. 第二セット|だいにセット
第二季	n. 第二シーズン|だいにシーズン
第二季第	phr. 第2シーズン第
第二审刑事判决书	n. 第二審刑事判決書|だいにしんけいじはんけつしょ
第二层	n. 第二層|だいにそう
第二届	phr. 第二回|だいにかい
第二年	n. 二年目|にねんめ
第二度	n. 二度目|にどめ
第二张	phr. 二枚目|にまいめ
第二张单	n. 二枚目の伝票|にまいめのでんぴょう
第二张图	phr. 二枚目の図|にまいめのず
第二性征	n. 第二次性徴|だいにじせいちょう
第二批	n. 第二陣|だいにじん
第二排	n. 二列目|にれつめ
第二支	phr. 二本目|にほんめ
第二春	n. 第二の春|だいにのはる
第二期	n. 第二期|だいにき
第二条	n. 第二条|だいにじょう
第二桥	n. 第二橋|だいにきょう
第二梯队	n. 第二梯団|だいにていだん
第二次	num. 二度目|にどめ
第二次答辩	n. 二回目の答弁|にかいめのとうべん
第二段	n. 第二段落|だいにだんらく
第二毛纺厂	n. 第二毛紡績工場|だいにもうぼうせきこうじょう
第二波	n. 第二波|だいには
第二济困医院	n. 第二済困病院|だいにさいこんびょういん
第二炮兵	n. 第二砲兵|だいにほうへい
第二炮兵工程学院	n. 第二砲兵工程学院|だいにほうへいこうていがくいん
第二版	n. 第二版|だいにはん
第二百	num. 第二百|だいにひゃく
第二种	n. 第二種|だいにしゅ
第二章	n. 第二章|だいにしょう
第二粮库	n. 第二食糧倉庫|だいにしょくりょうそうこ
第二级	n. 第二レベル|だいにレベル
第二职业	n. 副業|ふくぎょう
第二肝门	n. 第二肝門|だいにかんもん
第二节	n. 第二節|だいにせつ
第二苗圃	n. 第二苗圃|だいにびょうほ
第二范式	n. 第二正規形|だいにせいきけい
第二菜市场	n. 第二市場|だいにいちば
第二触角	n. 第二触角|だいにしょっかく
第二课堂	n. 課外活動|かがいかつどう
第二轮	phr. 第二ラウンド|だいにらうんど	phr. 二回目|にかいめ
第二遍	n. 二回目|にかいめ
第二部	n. 第二部|だいにぶ
第二部分	n. 第二部|だいにぶ
第二长话枢纽大楼	n. 第二長距離電話ハブビル|だいにちょうきょりでんわハブビル
第二阶段	n. 第二段階|だいにだんかい
第二集	n. 第二話|だいにわ
第二首	phr. 二曲目|にきょくめ
第五	num. 第五|だいご
第五个	num. 五番目|ごばんめ
第五代	n. 第五世代|だいごせだい
第五代计算机	n. 第五世代コンピュータ|だいごせだいこんぴゅーた
第五代语言	n. 第五世代言語|だいごせだいげんご
第五位	n. 第五位|だいごい
第五医院	n. 第五病院|だいごびょういん
第五十	num. 第五十|だいごじゅう
第五十七	num. 第五十七|だいごじゅうなな
第五十三	num. 第五十三|だいごじゅうさん
第五十九	num. 第五十九|だいごじゅうきゅう
第五十二	num. 第五十二|だいごじゅうに
第五十五	num. 第五十五|だいごじゅうご
第五十八	num. 第五十八|だいごじゅうはち
第五十四	num. 第五十四|だいごじゅうよん
第五名	n. 第五位|だいごい
第五天	n. 五日目|いつかめ
第五季	n. 第五シーズン|だいごしーずん
第五届	n. 第五回|だいごかい
第五张	phr. 五枚目|ごまいめ
第五批	phr. 第五陣|だいごじん
第五期	n. 第五期|だいごき
第五次	phr. 五回目|ごかいめ
第五章	n. 第五章|だいごしょう
第五范式	n. 第五正規形|だいごせいきけい
第五集	n. 第5話|だいごわ
第什营乡	n. 第什営郷|だいしゅうえいきょう
第以今日事势观之	phr. ただ今日の情勢から見れば|ただきょうのじょうせいからみれば
第八	num. 第八|だいはち
第八代	n. 第八代|だいはちだい
第八十	num. 第八十|だいはちじゅう
第八名	n. 8位|はちい
第八堡乡	n. 第八堡郷|だいはちほうきょう
第八届	phr. 第八回|だいはっかい
第八批	n. 第八陣|だいはちじん
第八次	n. 八回目|はっかいめ
第八集	n. 第八話|だいはちわ
第六	num. 第六|だいろく
第六个	num. 六番目|ろくばんめ
第六代	n. 第六世代|だいろくせだい
第六十	num. 第六十|だいろくじゅう
第六十七	num. 第六十七|だいろくじゅうなな
第六十五	num. 第六十五|だいろくじゅうご
第六十六	num. 第六十六|だいろくじゅうろく
第六十四	num. 第六十四|だいろくじゅうよん
第六名	n. 第六位|だいろくい
第六天	n. 六日目|むいかめ
第六季	n. 第6シーズン|だいろくしーずん
第六届	n. 第六回|だいろっかい
第六张	phr. 六枚目|ろくまいめ
第六感	n. 第六感|だいろっかん
第六批	n. 第六陣|だいろくじん
第六次	num. 六回目|ろっかいめ
第六集	n. 第六話|だいろくわ
第几	pron. 何番目|なんばんめ
第几个	phr. 何番目|なんばんめ
第几次	phr. 何回目|なんかいめ
第几集	phr. 何話|なんわ
第十	num. 第十|だいじゅう
第十一	num. 第十一|だいじゅういち
第十一名	phr. 第十一位|だいじゅういちい
第十一届	num. 第十一回|だいじゅういっかい
第十七	num. 第十七|だいじゅうなな
第十七届	n. 第17回|だいじゅうななかい
第十三	num. 第十三|だいじゅうさん
第十三届	phr. 第十三回|だいじゅうさんかい
第十九	num. 第十九|だいじゅうきゅう
第十九届	phr. 第19回|だいじゅうきゅうかい
第十二	num. 第十二|だいじゅうに
第十二届	phr. 第12回|だいじゅうにかい
第十五	num. 第十五|だいじゅうご
第十五届	n. 第十五回|だいじゅうごかい
第十八	num. 第十八|だいじゅうはち
第十八届	phr. 第18回|だいじゅうはっかい
第十六	num. 第十六|だいじゅうろく
第十六届	n. 第十六回|だいじゅうろっかい
第十名	n. 十位|じゅうい
第十四	num. 第十四|だいじゅうよん
第十四届	phr. 第14回
第十届	phr. 第十回|だいじゅっかい
第十甫	n. 第十甫|だいじゅうほ
第十集	n. 第10話|だいじゅうわ
第四	num. 第四|だいよん
第四个	num. 四番目|よんばんめ
第四中学	n. 第四中学校|だいよんちゅうがっこう
第四人民医院	n. 第四人民病院|だいよんじんみんびょういん
第四代	n. 第四世代|だいよんせだい
第四代计算机	n. 第四世代コンピュータ|だいよんせだいコンピュータ
第四代语言	n. 第四世代言語|だいよんせだいげんご
第四位	n. 四位|よんい
第四制药厂	n. 第四製薬工場|だいよんせいやくこうじょう
第四十	num. 第四十|だいよんじゅう
第四十七	num. 第四十七|だいよんじゅうなな
第四十三	num. 第四十三|だいよんじゅうさん
第四十九	num. 第四十九|だいよんじゅうきゅう
第四十二	num. 第四十二|だいよんじゅうに
第四十五	num. 第四十五|だいよんじゅうご
第四十八	num. 第四十八|だいよんじゅうはち
第四十六	num. 第四十六|だいよんじゅうろく
第四十四	num. 第四十四|だいよんじゅうよん
第四名	n. 4位|よんい
第四场	n. 第四場|だいよんば
第四大	adj. 第四の大きさ|だいよんのおおきさ
第四天	n. 四日目|よっかめ
第四季	n. 第4シーズン|だいよんシーズン
第四届	phr. 第四回|だいよんかい
第四张	phr. 四枚目|よんまいめ
第四批	n. 第四陣|だいよんじん
第四期	n. 第4期|だいよんき
第四村	n. 第四村|だいよんむら
第四次	num. 四回目|よんかいめ
第四次宪法修正案	n. 第四次憲法修正案|だいよじけんぽうしゅうせいあん
第四电器厂	n. 第四電器工場|だいよんでんきこうじょう
第四疃乡	n. 第四疃郷|だいしたんきょう
第四监狱	n. 第四刑務所|だいよんけいむしょ
第四章	n. 第四章|だいよんしょう
第四纪灭绝事件	n. 第四紀絶滅事件|だいよんきぜつめつじけん
第四缸	n. 第四シリンダー|だいよんシリンダー
第四脑室	n. 第四脳室|だいよんのうしつ
第四节	phr. 第四節|だいよんせつ
第四范式	n. 第四正規形|だいよんせいきけい
第四轮	phr. 第四ラウンド|だいよんらうんど
第四部	n. 第四部|だいよんぶ
第四集	n. 第4話|だいよんわ
第戎	n. ディジョン|でぃじょん
第戎区	n. ディジョン地区|ディジョンちく
第斯多惠	n. ディースターヴェーク|でぃーすたーう゛ぇーく
第比利斯	n. トビリシ|トビリシ
第聂	n. ドニエプル|どにえぷる
第聂伯	n. ドニエプル|どにえぷる
笮	n. 竹の縄|たけのなわ
笮融	n. 笮融|さくゆう
笯	n. 鳥かご|とりかご
笱	n. 魚籠|びく
笳	n. 笳|か
笸	n. ざる|ざる
笸箩	n. ざる|ざる
笺	n. 短冊|たんざく
笺注	n. 注釈|ちゅうしゃく
笼	n. 籠|かご
笼中之鸟	phr. 籠の中の鳥|かごのなかのとり
笼仔饭	n. 竹籠飯|たけかごめし
笼养	v. ケージ飼育|けーじしいく
笼包	n. 肉まん|にくまん
笼四脚篮虫	n. 籠四脚籃虫|かごよんあしらんちゅう
笼天地于形内	phr. 天地を形内に籠める|てんちをけいないにこめる
笼头	n. 頭絡|とうらく
笼子	n. 籠|かご
笼子里	n. 檻の中|おりのなか
笼屉	n. 蒸し籠|むしかご
笼底	n. 籠の底|かごのそこ
笼新	v. 籠新|ろうしん
笼竹和烟滴露梢	phr. 竹|たけ
笼络	v. 籠絡する|ろうらくする
笼络人心	phr. 人心を掌握する|じんしんをしょうあくする
笼统	adj. 大まか|おおまか
笼罩	v. 覆う|おおう
笼茶	n. 蒸し茶|むしちゃ
笾	n. 笾|へん
筀	n. 筀|けい
筅	n. 茶筅|ちゃせん
筆頭鳳凰螺	n. ホラガイ|ほらがい
筇	n. 筇|きゅう
等	v. 待つ|まつ
等一下	v. ちょっと待って|ちょっとまって
等一会	v. ちょっと待つ|ちょっとまつ
等一等	v. ちょっと待つ|ちょっとまつ
等下	v. 待って|まって
等下去	phr. 待ち続ける|まちつづける
等不了	v. 待てない|まてない
等不到	v. 待てない|まてない
等不及	v. 待ちきれない|まちきれない
等不及了	phr. 待ちきれない|まちきれない
等个	v. 待つ|まつ
等了	v. 待った|まった
等了好久	phr. 長く待った|ながくまった
等于	v. 等しい|ひとしい
等人	phr. など|など
等什么	phr. 何を待つ|なにをまつ
等他	phr. 彼を待つ|かれをまつ
等他回来	phr. 彼が帰るのを待つ|かれがかえるのをまつ
等价	adj. 等価|とうか
等价交换	n. 等価交換|とうかこうかん
等价关系	n. 同値関係|どうちかんけい
等价有偿原则	phr. 等価有償の原則|とうかゆうしょうのげんそく
等价物	n. 等価物|とうかぶつ
等价类	n. 同値類|どうちるい
等价转换	n. 等価変換|とうかへんかん
等价运算	n. 等価演算|とうかえんざん
等价问题	n. 等価問題|とうかもんだい
等份	n. 等分|とうぶん
等会	v. ちょっと待って|ちょっとまって
等会儿	phr. ちょっと待って|ちょっとまって
等位基因	n. 対立遺伝子|たいるいいでんし
等你	phr. あなたを待つ|あなたをまつ
等你了	v. 待ってるよ|まってるよ
等你呢	phr. 待ってるよ|まってるよ
等你回来	phr. 帰りを待つ|かえりをまつ
等你来	phr. 君を待つ|きみをまつ
等侧肋古柏线虫	n. 等側肋古柏線虫|とうそくろくこはくせんちゅう
等候	v. 待つ|まつ
等值	n. 等価|とうか
等值连接	n. 等価結合|とうかけつごう
等内容	phr. など|など
等几天	v. 数日待つ|すうじつまつ
等分	v. 等分する|とうぶんする
等列层	n. 等層|とうそう
等到	v. 待つ|まつ
等到了	v. 待ち着く|まちつく
等到你	phr. あなたを待つ|あなたをまつ
等功	n. 等功|とうこう
等功能	phr. などの機能|などのきのう
等势原理	n. 等ポテンシャル原理|とうポテンシャルげんり
等号	n. 等号|とうごう
等同	v. 同等|どうとう
等同于	v. 等しい|ひとしい
等同物替换	n. 等価物置換|とうかぶつちかん
等吧	part. 待って|まって
等哪天	phr. いつか|いつか
等因奉此	phr. 等因奉此|とういんほうし
等国	n. など|など
等地	part. など|など
等处	phr. など|など
等外	adj. 規格外|きかくがい
等外品	n. 等外品|とうがいひん
等多	part. など|など
等多项	phr. など|など
等大	adj. 等大|とうだい
等太久	v. 待ちすぎる|まちすぎる
等奖	n. 賞|しょう
等她	phr. 彼女を待つ|かのじょをまつ
等好久	phr. 長く待つ|ながくまつ
等差	n. 等差|とうさ
等差数列	n. 等差数列|とうさすうれつ
等式	n. 等式|とうしき
等待	v. 待つ|まつ
等待事件	n. 待機イベント|たいきイベント
等待你	phr. あなたを待つ|あなたをまつ
等待唤醒机制	n. 待機・通知メカニズム|たいき・つうちメカニズム
等待时间	n. 待ち時間|まちじかん
等待状态	n. 待機状態|たいきじょうたい
等待着	v. 待っている|まっている
等待表	n. 待ち行列|まちぎょうれつ
等待队列	n. 待ち行列|まちぎょうれつ
等得	v. 待つ|まつ
等您	phr. お待ちしています|おまちしています
等情况	phr. など|など
等我	phr. 私を待って|わたしをまって
等我回	phr. 私が戻るのを待って|わたしがもどるのをまって
等我回去	phr. 帰ったら|かえったら
等我回来	phr. 帰るまで待って|かえるまでまって
等效	adj. 等価|とうか
等斑乳突天竺鲷	n. 等斑乳突天竺鯛|とうはんにゅうとつてんじくだい
等方面	phr. など|など
等有时间	phr. 時間があるとき|じかんがあるとき
等来	v. 待って来る|まってくる
等次	n. 等級|とうきゅう
等死	v. 死を待つ|しをまつ
等比数列	n. 等比数列|とうひすうれつ
等渗溶液	n. 等張液|とうちょうえき
等温	adj. 等温の|とうおんの
等爪四脉绵蚜	n. 等爪四脈綿蚜|とうそうしみゃくめんあ
等的	part. など|など
等着	v. 待つ|まつ
等着你	phr. 待っている|まっている
等着吧	phr. 待っていなさい|まっていなさい
等着呢	phr. 待っている|まっている
等着看	phr. 待って見る|まってみる
等离子体	n. プラズマ|ぷらずま
等称虫属	n. 等称虫属|とうしょうちゅうぞく
等等	part. など|など
等等吧	phr. ちょっと待って|ちょっとまって
等等我	phr. 待って|まって
等等等等	phr. などなど|などなど
等米下锅	phr. 米を待って鍋を下ろす|こめをまってなべをおろす
等级	n. 等級|とうきゅう
等级制	n. 階級制度|かいきゅうせいど
等级考试	n. 等級試験|とうきゅうしけん
等级资料	n. 順序尺度データ|じゅんじょしゃくどデータ
等终军之弱冠	phr. 終軍の弱冠に等しい|しゅうぐんのじゃっかんにひとしい
等翅目	n. 等翅目|とうしもく
等而下之	phr. それ以下|それいか
等职	n. 等の職|とうのしょく
等设备	phr. などの設備|などのせつび
等距	adj. 等距離|とうきょり
