# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
阁山垦殖场	n. Geshan reclamation farm
阁楼	n. attic
阁楼镇	n. Gelou Town
阂	n. barrier
阃	n. threshold
阄	n. lot
阄儿	n. lot
阅	v. read
阅兵	n. military parade
阅兵式	n. military parade
阅卷	v. grade papers
阅卷笔录	n. grading notes
阅历	n. experience
阅城国际花园	n. Yuecheng International Garden
阅报栏	n. newspaper board
阅景龙华	n. Yuejing Longhua
阅江楼	n. Yuejiang Tower
阅江花苑	n. Yuejiang Huayuan
阅览	v. read	v. browse
阅览室	n. reading room
阅读	v. read
阅读器	n. reader
阅读理解	n. reading comprehension
阅读程序	n. reading program
阅读量	n. readership
阅马场	n. Yuemachang
阆中	n. Langzhong
阆中县	n. Langzhong County
阆中市	n. Langzhong City
阆中胜事可肠断	phr. Langzhong's beauty heartbreaking
阇	n. tower
阈	n. threshold
阈值	n. threshold
阈值分割	n. threshold segmentation
阈值处理	n. thresholding
阈浓度	n. threshold concentration
阉	v. castrate
阉人	n. eunuch
阉割	v. castrate
阉割情结	n. castration complex
阉鸡	n. capon
阊	n. gate
阋	v. quarrel
阌	n. Wen
阍	n. gatekeeper
阎	n. Yama
阎仙垡	n. Yanxianfa
阎仙垡村	n. Yanxianfa Village
阎兴邦	n. Yan Xingbang
阎宇	n. Yan Yu
阎安	n. Yan'an
阎宗临	n. Yan Zonglin
阎家屯	n. Yanjiatun
阎家溶	n. Yanjiarong
阎家滩	n. Yanjiatan
阎尔梅	n. Yan Ermei
阎庄	n. Yanzhuang
阎庄村	n. Yanzhuang Village
阎店楼镇	n. Yandianlou Town
阎文清	n. Yan Wenqing
阎楼镇	n. Yanlou Town
阎王	n. Yama	n. King of Hell
阎王债	n. usury
阎王殿	n. Yama's palace
阎疃镇	n. Yantuan town
阎立本	n. Yan Liben
阎良	n. Yanliang
阎象	n. Yan Xiang
阎锡山	n. Yan Xishan
阎集镇	n. Yanji Town
阎青妤	n. Yan Qingyu
阏	v. block
阐	v. explain
阐发	v. elucidate
阐扬	v. expound	v. elaborate
阐明	v. clarify
阐述	v. elaborate	v. expound
阐述了	v. elaborated
阐释	v. explain	v. interpret
阑	adj. late
阑尾	n. appendix
阑尾炎	n. appendicitis
阑尾穴	n. appendix point
阑尾类癌	n. appendiceal carcinoid
阑珊	adj. waning	adj. fading
阒	adj. quiet	adj. still
阔	adj. wide
阔人	n. rich person
阔什塔格乡	n. Kuoshitage Township
阔什萨特玛乡	n. Kuoshisatema Township
阔以	adj. okay
阔以阔	phr. can can
阔以阔以	adj. okay okay
阔佬	n. rich man
阔依其乡	n. Kuoyiqi Township
阔别	v. be long parted
阔叶	adj. broadleaf
阔叶林	n. broadleaf forest
阔叶树	n. broadleaf tree
阔少	n. rich young man
阔怕	adj. scary
阔斯特克乡	n. Kuositeke Township
阔楯粪金龟	n. beetle
阔步	v. stride
阔气	adj. extravagant
阔洪奇乡	n. Kuohongqi Township
阔爱	adj. cute
阔筋膜张肌	n. tensor fasciae latae
阔绰	adj. extravagant
阔胸禾犀金龟	n. beetle
阔腿	adj. wide-leg
阔腿裤	n. wide-leg pants
阔鼻小目	n. platyrrhine
阖	v. close
阖家	n. whole family
阖家幸福	phr. family happiness
阖家欢乐	phr. family happiness
阗	adj. full
阘	adj. low	adj. mean
阙	n. palace gate
阙如	v. lack	v. be absent
阙汉骞	n. Que Hanqian
阙道华	n. Que Daohua
阚	n. Kan
阚家	n. Kan family
阚庄	n. Kanzhuang
阚泽	n. Kan Ze
阚维雍	n. Kan Weiyong
阜	n. mound
阜丰集团	n. Fufeng Group
阜南	n. Funan
阜南路	n. Funan Road
阜县	n. Fu County
阜城	n. Fucheng
阜埠河路	n. Fubuhe Road
阜外医院	n. Fuwai Hospital
阜外大街	n. Fuwai Street
阜外西口	n. Fuwai West Entrance
阜外西社区	n. Fuwai West Community
阜宁	n. Funing
阜宁大糕	n. Funing cake
阜安	n. Fu'an
阜安办事处	n. Fu'an Subdistrict Office
阜寨	n. Fuzhai
阜山	n. Fushan
阜峰	n. Fufeng
阜市	n. Fushi
阜平	n. Fuping
阜康县	n. Fukang County
阜康市	n. Fukang City
阜成路	n. Fucheng Road
阜成门	n. Fuchengmen
阜新	n. Fuxin
阜新县	n. Fuxin County
阜新市	n. Fuxin City
阜新市宠物医院	n. Fuxin Pet Hospital
阜新路	n. Fuxin Road
阜永路口南	n. South of Fuyong Road
阜永路口西	n. Fuyong Road West
阜矿集团	n. Fukuang Group
阜蒙农场	n. Fumeng Farm
阜蒙县	n. Fumeng County
阜西	n. Fuxi
阜通东大街	n. Futong East Street
阜阳	n. Fuyang
阜阳县	n. Fuyang County
阜阳地区	n. Fuyang area
阜阳市	n. Fuyang
阜阳路	n. Fuyang Road
队	n. team	n. group
队中	n. in the team
队伍	n. team	n. queue
队伍中	phr. in the team
队伍建设	n. team building
队内	n. within the team
队列	n. queue
队列和栈	n. queue and stack
队列研究	n. cohort study
队列表	n. queue table
队友	n. teammate
队史	n. team history
队员	n. team member
队形	n. formation
队投	v. team throw
队旗	n. team flag
队日	n. team day
队服	n. team uniform
队礼	n. salute
队签	n. team signature
队签下	v. sign under team
队部	n. team headquarters
队长	n. captain
阡	n. path between fields
阡陌	n. field paths
阡陌纵横	phr. crisscross paths
阪	n. slope	n. Osaka
阪市	n. Osaka city
阪府	n. Osaka Prefecture
阪急	n. Hankyu
阪泉	n. Banquan
阪神	n. Hanshin
阪站	n. Saka station
阪线	n. Osaka line
阮云生	n. Ruan Yunsheng
阮厝	n. Ruan Cuo
阮孝绪	n. Ruan Xiaoxu
阮宗泽	n. Ruan Zongze
阮庄	n. Ruanzhuang
阮性山	n. Ruan Xingshan
阮惠	n. Nguyen Hue
阮文	n. Nguyen Van
阮晔	n. Ruan Ye
阮朝	n. Nguyen dynasty
阮次山	n. Ruan Cishan
阮煜	n. Ruan Yu
阮玉	n. Nguyen Ngoc
阮琳	n. Ruan Lin
阮社	n. Ruanshe
阮福	n. Nguyen Phuc
阮福映	n. Nguyen Phuc Anh
阮籍	n. Ruan Ji
阮葵生	n. Ruan Kuisheng
阮长耿	n. Ruan Changgeng
阱	n. trap
防	v. prevent
防不胜防	phr. hard to guard against
防伪	v. anti-counterfeit
防伪专用品	n. anti-counterfeit specials
防伪标志	n. anti-counterfeit mark
防保站	n. prevention station
防冻	v. antifreeze
防凌	v. prevent ice jam
防务	n. defense
防化兵	n. chemical defense troops
防化学院	n. Chemical Defense Academy
防化服	n. chemical protective suit
防区	n. defense area
防卫	v. defend
防卫过当	n. excessive self-defense
防参止痒颗粒	n. Fangshen anti-itch granules
防地	n. defense area
防城	n. Fangcheng
防城县	n. Fangcheng County
防城港市	n. Fangchenggang
防城港市港口	n. Fangchenggang Port
防城港市防城区	n. Fangchenggang Fangcheng District
防备	v. guard against
防守	v. defend	v. guard
防寒	v. protect against cold
防寒服	n. winter coat
防尘	v. dustproof
防己黄芪汤	n. Fangji Huangqi Decoction
防弹	adj. bulletproof
防弹衣	n. bulletproof vest
防御	n. defense
防御使	n. defense envoy
防御力	n. defense
防御工事	n. fortification
防御式编程	n. defensive programming
防御机制	n. defense mechanism
防御率	n. ERA
防御行为	n. defensive behavior
防微杜渐	phr. nip in the bud
防微虑远	phr. nip in the bud
防患	v. prevent
防患于未然	phr. prevent trouble
防抖	n. image stabilization
防护	n. protection
防护体系	n. protection system
防护口罩	n. protective mask
防护堤	n. levee
防护手套	n. protective gloves
防护林	n. shelter forest
防护用品	n. protective equipment
防护罩	n. shield
防护薄膜	n. protective film
防抱制动系统	n. anti-lock braking system
防拖车系统	n. anti-tow system
防控	v. prevent and control
防撞加强板	n. reinforced anti-collision plate
防旱	v. prevent drought
防晒	n. sunscreen
防晒霜	n. sunscreen
防暑	v. prevent heatstroke
防暴	adj. anti-riot
防暴警	n. riot police
防暴警察	n. riot police
防止	v. prevent	v. avoid
防止义务	n. duty to prevent
防止虐待动物协会	n. SPCA
防止贪污法	n. anti-corruption law
防毒	v. decontaminate
防毒面具	n. gas mask
防民之口	phr. prevent people from speaking
防水	adj. waterproof
防水墙	n. waterproof wall
防水层	n. waterproof layer
防汛	v. flood control
防污	v. prevent pollution
防沙林	n. sandbreak forest
防治	v. prevent and control
防波堤	n. breakwater
防注入	n. injection prevention
防洪	v. flood control
防洪堤	n. flood embankment
防洪渠	n. flood control channel
防涝	v. prevent waterlogging
防渗	v. impermeabilize
防滑	adj. anti-slip
防滑地板	n. anti-slip flooring
防滑链	n. snow chain
防潮	v. moisture-proof
防火	v. fireproof	v. prevent fire
防火墙	n. firewall
防火墙配置	n. firewall configuration
防火墙隔音	n. firewall soundproofing
防灾	v. disaster prevention
防爆膜	n. explosion-proof film
防疫	n. epidemic prevention
防疫措施	n. prevention measures
防疫站	n. epidemic prevention station
防疫针	n. vaccine
防病	v. prevent disease
防病毒	adj. anti-virus
防病毒程序	n. antivirus
防皱	v. anti-wrinkle
防盗	v. anti-theft
防盗控制单元	n. anti-theft control unit
防盗锁	n. anti-theft lock
防盗门	n. security door
防眩目	adj. anti-glare
防眩目后视镜	n. anti-glare mirror
防碎安全玻璃	n. shatterproof safety glass
防空	n. air defense
防空壕	n. air-raid shelter
防空洞	n. air-raid shelter
防空灯	n. blackout lamp
防窃听	v. anti-eavesdrop
防线	n. defense line
防老	v. provide for old age
防脱	v. anti-hair loss
防腐	v. preserve	v. anticorrosion
防腐剂	n. preservative
防芷鼻炎片	n. Fangzhi rhinitis tablet
防范	v. guard against
防虏寨乡	n. Fangluzhai Township
防蛀	adj. mothproof
防衰益寿丸	n. Fangshuai Yishou Pill
防身	v. self-defense
防追尾系统	n. anti-collision system
防锈	v. rust-proof
防雷减灾管理办法	n. lightning disaster prevention measures
防震	adj. shockproof
防震减灾法律法规	n. earthquake disaster laws
防风	v. protect against wind
防风林	n. windbreak forest
防风通圣	n. Fangfeng Tongsheng
防风通圣丸	n. Fangfeng Tongsheng pill
防风通圣散	n. Fangfeng Tongsheng San
阳	n. sun	n. yang
阳三街道	n. Yangsan Street
阳世	n. this world
阳东	n. Yangdong
阳东区	n. Yangdong District
阳交	n. Yangjiao
阳伞	n. parasol
阳信	n. Yangxin
阳光	n. sunshine
阳光下	phr. in the sun
阳光丽景	n. Sunshine Lijing
阳光占乡	n. Yangguangzhan Township
阳光厅	n. sunroom
阳光商厦	n. Sunshine Mall
阳光嘉园	n. Sunshine Jiayuan
阳光园	n. Sunshine Garden
阳光地带	n. sunbelt
阳光城	n. Sunshine City
阳光城市花园	n. Sunshine City Garden
阳光家园二期	n. Sunshine Home Phase II
阳光小区	n. Sunny Community
阳光小区东门	n. Sunshine Community East Gate
阳光山城	n. Sunshine Mountain City
阳光幼儿园	n. Sunshine Kindergarten
阳光广场	n. Sunshine Plaza
阳光明媚	phr. sunny
阳光普照	phr. sunshine everywhere
阳光村	n. Sunshine Village
阳光正好	phr. sunshine just right
阳光灿烂	phr. sunny
阳光聚宝山庄	n. Sunshine Jubao Villa
阳光花园	n. Sunshine Garden
阳光花园小区	n. Sunshine Garden Community
阳光酒店	n. Sunshine Hotel
阳光里	n. in the sunlight
阳光雅居	n. Sunny Elegant Residence
阳光驿站	n. sunshine station
阳公桥	n. Yanggong Bridge
阳关	n. Yangguan Pass
阳关大道	n. broad road
阳刚	adj. manly
阳刚之气	n. masculinity
阳历	n. solar calendar
阳历年	n. solar year
阳原	n. Yangyuan
阳厦	n. Yangsha
阳县	n. Yang County
阳台	n. balcony
阳台碧峭十二峰	phr. Yangtai Biquao Twelve Peaks
阳固镇	n. Yangu Town
阳坊	n. Yangfang
阳坊北站	n. Yangfang North Station
阳坡	n. sunny slope
阳坪	n. Yangping
阳城	n. Yangcheng
阳城肉罐肉	n. Yangcheng meat pot meat
阳堌镇	n. Yanggu Town
阳夏	n. Yangxia
阳头升乡	n. Yangtousheng Township
阳头街道	n. Yangtou Street
阳子问其故	phr. Yangzi asked the reason
阳安线	n. Yang'an Line
阳安铁路	n. Yang'an Railway
阳寿	n. lifespan
阳山村	n. Yangshan Village
阳岐	n. Yangqi
阳峰乡	n. Yangfeng Township
阳市	n. Yangshi
阳平	n. rising tone
阳平关	n. Yangping Pass
阳府	n. Yangfu
阳性	n. positive
阳性体征	n. positive sign
阳文	n. raised characters
阳新	n. Yangxin
阳新黑猪	n. Yangxin black pig
阳旭	n. Yang Xu
阳明	n. Yangming
阳明东路	n. Yangming East Road
阳明山	n. Yangmingshan
阳明山暮蝉	n. Yangmingshan evening cicada
阳星	n. Yangxing
阳春	n. Yangchun
阳春乡	n. Yangchun Township
阳春县	n. Yangchun County
阳春口服液	n. Yangchun oral liquid
阳春市	n. Yangchun City
阳春布德泽	phr. spring spreads grace
阳春白雪	n. highbrow art
阳春砂	n. Amomum villosum
阳春面	n. plain noodles
阳景逐回流	phr. sunlight follows the current
阳曲	n. Yangqu
阳曲路	n. Yangqu Road
阳朔	n. Yangshuo
阳本	n. Yangben
阳本线	n. Yangben Line
阳极	n. anode
阳极效应	n. anode effect
阳桥	n. Yang Bridge
阳武	n. Yangwu
阳江	n. Yangjiang
阳江县	n. Yangjiang County
阳江市	n. Yangjiang City
阳池	n. Yangchi
阳沟	n. open drain
阳河	n. Yang River
阳泉	n. Yangquan
阳泉坪	n. Yangquanping
阳泉市	n. Yangquan City
阳泉胡同	n. Yangquan Hutong
阳泉路	n. Yangquan Road
阳湖名城	n. Yanghu Mingcheng
阳溪	n. Yangxi
阳溪穴	n. Yangxi acupoint
阳澄	n. Yangcheng
阳澄湖	n. Yangcheng Lake
阳照胡同	n. Yangzhao Hutong
阳生植物	n. heliophyte
阳电	n. positive charge
阳痿	n. impotence
阳白	n. Yangbai
阳白穴	n. Yangbai acupoint
阳离子	n. cation
阳羡	n. Yangxian
阳群	n. Yangqun
阳翟	n. Yangdi
阳翰笙	n. Yang Hansheng
阳脉之海	n. sea of yang meridians
阳菜	n. Hina
阳蕾	n. Yanglei
阳虚	n. yang deficiency
阳西	n. Yangxi
阳谷	n. Yanggu
阳谷华泰	n. Yanggu Huatai
阳谷穴	n. Yanggu acupoint
阳起石	n. actinolite
阳路	n. sunny road
阳辅穴	n. Yangfu acupoint
阳邑西街	n. Yangyi West Street
阳郡	n. Yang County
阳镇	n. Yangzhen
阳间	n. world of the living
阳阿	n. Yang'e
阳陵泉	n. Yanglingquan acupoint
阳霞	n. Yangxia
阳面	n. sunny side
阳高	n. Yanggao
阳高乡	n. Yanggao Township
阳高杏脯	n. Yanggao dried apricot
阴	n. yin	n. shade
阴云	n. dark clouds
阴交	n. Yinjiao
阴冷	adj. gloomy and cold
阴凉	adj. shady
阴功	n. secret merit
阴包	n. Yinbao
阴历	n. lunar calendar
阴司	n. underworld
阴囊	n. scrotum
阴囊损伤	n. scrotal injury
阴囊水肿	n. scrotal edema
阴囊湿疹	n. scrotal eczema
阴囊炎	n. scrotitis
阴囊疱疹	n. scrotal herpes
阴囊瘙痒	n. scrotal itching
阴囊肿大	n. scrotal swelling
阴地蕨	n. fern
阴天	n. cloudy day
阴宅	n. grave	n. tomb
阴寒证	n. yin cold syndrome
阴差阳错	phr. by mistake
阴市	n. Yinshi
阴干	v. dry in shade
阴平	n. yinping
阴影	n. shadow
阴影效应	n. shadow effect
阴影效果	n. shadow effect
阴影绒毛鲨	n. shadow velvet shark
阴德	n. hidden merit
阴性	n. negative
阴惨	adj. gloomy	adj. dismal
阴文	n. intaglio
阴晦	adj. gloomy	adj. dark
阴暗	adj. dark
阴暗的	adj. dark	adj. gloomy
阴暗面	n. dark side
阴曹	n. underworld
阴曹地府	n. underworld
阴极	n. cathode
阴极射线管	n. cathode ray tube
阴柔	adj. gentle	adj. feminine
阴森	adj. gloomy
阴森森	adj. gloomy
阴毒	adj. insidious
阴毛	n. pubic hair
阴沉	adj. gloomy
阴沉沉	adj. gloomy	adj. overcast
阴沟	n. sewer	n. drain
阴液亏损	n. yin fluid deficiency
阴湿	adj. damp
阴田乡	n. Yintian Township
阴电	n. negative electricity
阴盛格阳	n. yin excess repelling yang
阴离子	n. anion
阴私	n. private affairs	n. secrets
阴笑	v. sneer
阴脉之海	n. sea of yin meridians
阴茎	n. penis
阴茎假体植入术	n. penile prosthesis implantation
阴茎再造术	n. penile reconstruction
阴茎延长术	n. penile lengthening
阴茎异常勃起	n. priapism
阴茎扭转	n. penile torsion
阴茎损伤	n. penile injury
阴茎海绵体	n. corpus cavernosum
阴茎畸形	n. penile deformity
阴茎癌	n. penile cancer
阴茎肿瘤	n. penile tumor
阴茎部分切除术	n. partial penectomy
阴蒂	n. clitoris
阴虚	n. yin deficiency
阴虚发热	n. yin deficiency fever
阴虚火旺	n. yin deficiency with fire
阴虱病	n. pubic lice infestation
阴谋	n. conspiracy	n. plot
阴谋家	n. schemer
阴谋犯	n. conspirator
阴谋论	n. conspiracy theory
阴谋诡计	phr. schemes and intrigues
阴谷	n. Yingu acupoint
阴道	n. vagina
阴道再造术	n. vaginoplasty
阴道冲洗	n. vaginal douche
阴道出血	n. vaginal bleeding
阴道分泌物检查	n. vaginal secretion test
阴道前庭	n. vaginal vestibule
阴道成形术	n. vaginoplasty
阴道松弛	n. vaginal laxity
阴道横隔	n. transverse vaginal septum
阴道毛滴虫	n. Trichomonas vaginalis
阴道毛滴虫病	n. trichomoniasis
阴道炎	n. vaginitis
阴道痉挛	n. vaginismus
阴道紧缩术	n. vaginal tightening
阴道纵膈	n. longitudinal vaginal septum
阴道纵隔	n. longitudinal vaginal septum
阴道肿瘤	n. vaginal tumor
阴道脱垂	n. vaginal prolapse
阴道镜检查	n. colposcopy
阴道闭锁	n. vaginal atresia
阴郁	adj. gloomy	adj. morose
阴部	n. genitals
阴门	n. vulva
阴间	n. underworld
阴阜	n. mons pubis
阴阳	n. yin-yang
阴阳人	n. hermaphrodite
阴阳先生	n. geomancer
阴阳师	n. Onmyoji
阴阳怪气	adj. sarcastic	adj. weird
阴阳梁祝美凤蝶	n. yin-yang Liang-Zhu butterfly
阴阳消长	n. yin-yang waxing and waning
阴阳转化	n. yin-yang transformation
阴险	adj. sinister
阴雨	n. overcast and rainy
阴雨天	n. rainy day
阴霾	n. haze
阴面	n. shady side
阴风	n. chilly wind
阴魂	n. ghost	n. spirit
阴魂不散	phr. haunting
阵	m. burst
阵亡	v. die in battle
阵内智则	n. Jinnai Tomonori
阵列	n. array
阵列信号处理	n. array signal processing
阵列处理	n. array processing
阵势	n. battle array
阵发性心动过速	n. paroxysmal tachycardia
阵地	n. position	n. front
阵地式谈判	phr. positional bargaining
阵地战	n. positional warfare
阵子	m. period	m. while
阵容	n. lineup	n. cast
阵式	n. formation
阵挛	n. clonus
阵法	n. battle formation
阵痛	n. labor pain
阵线	n. front
阵脚	n. position	n. foothold
阵营	n. camp
阵阵	m. gusts of
阵雨	n. shower
阵风	n. gust
阶	n. step	n. rank
阶下囚	n. prisoner
阶层	n. class	n. stratum
阶梯	n. stairs	n. ladder
阶段	n. stage
阶段性技术成果	n. interim technical achievement
阶段性浮游生物	n. meroplankton
阶段浮游生物	n. meroplankton
阶段的	adj. stage
阶级	n. class
阶背式轿车	n. notchback sedan
阶跃函数	n. step function
阶跃响应	n. step response
阻	v. block	v. hinder
阻击	v. block	v. intercept
阻击战	n. blocking action
阻力	n. resistance	n. obstacle
阻力血管	n. resistance vessels
阻塞	v. block	v. obstruct
阻塞原语	n. blocking primitive
阻塞性肺气肿	n. obstructive emphysema
阻塞状态	n. blocked state
阻塞网络	n. blocking network
阻塞队列	n. blocking queue
阻塞非阻塞	n. blocking and non-blocking
阻截	v. intercept
阻抗	n. impedance
阻抗匹配	n. impedance matching
阻拦	v. block
阻挠	v. obstruct
阻挡	v. block
阻挡不了	v. cannot stop
阻断	v. block	v. intercept
阻止	v. prevent	v. stop
阻止不了	phr. cannot stop
阻滞	v. block
阻燃	adj. flame-retardant
阻生牙	n. impacted tooth
阻生牙拔除术	phr. impacted tooth extraction
阻碍	v. hinder	v. block
阻碍司法公正	phr. obstruct justice
阻绝	v. block
阻虎乡	n. Zuhu Township
阻车钉	n. spike strip
阻遏	v. stop	v. check
阻遏蛋白	n. repressor protein
阻隔	v. block	v. separate
阼	n. throne
阽	v. approach	v. be near
阿	part. ah
阿万仓乡	n. Awancang Township
阿不都克里木	n. Abdukerim
阿义马林	n. ajmaline
阿乌利亚乡	n. Awuliya Township
阿乐	n. A Le
阿什	n. Ash
阿什河街道	n. Ashihe Street
阿什里哈萨克族乡	n. Ashili Kazakh Township
阿仑膦酸钠	n. alendronate sodium
阿伐斯汀	n. acrivastine
阿伦特	n. Arendt
阿伯	n. uncle
阿伯丁郡	n. Aberdeenshire
阿依努犬	n. Ainu dog
阿依吐拉	n. Ayitula
阿信	n. Ah Xin
阿克吐别克乡	n. Aketubieke Township
阿克吐木斯克牧场	n. Aketumusike Ranch
阿克塞	n. Aksai
阿克托海依乡	n. Aketohai Township
阿克拉	n. Accra
阿克提坎墩乡	n. Aketikandun Township
阿克苏	n. Aksu
阿克苏县	n. Aksu County
阿克苏市	n. Aksu City
阿克苏普乡	n. Aksupu Township
阿克萨克马热勒乡	n. Aksakmaral Township
阿克陶	n. Akto
阿克陶镇	n. Akto Town
阿党镇	n. Adang Town
阿兰	n. Alan
阿兰德隆	n. Alain Delon
阿兹	n. Az
阿兹特克	n. Aztec
阿兹觉乡	n. Azijue Township
阿凡	n. Avan
阿凡提的故事	n. Tales of Afanti
阿凡达	n. Avatar
阿列	n. Allier
阿列克斯宝螺	n. Alex cowrie
阿列克谢	n. Alexei
阿列省	n. Allier department
阿初	n. Achu
阿利坎特	n. Alicante
阿加尼亚	n. Agana
阿加曲班	n. argatroban
阿加莎	n. Agatha
阿加西	n. Agassi
阿努	n. Anu
阿劳	n. Arau
阿劳特拉鸊鹈	n. Alaotra grebe
阿勒格尼山脉臭鼬	n. Allegheny skunk
阿勒泰县	n. Altay County
阿勒泰市	n. Altay City
阿勒泰路	n. Altay Road
阿勒泰鱥	n. Altai minnow
阿勒玛勒乡	n. Alemale Township
阿勒颇	n. Aleppo
阿南	n. Anan
阿南德	n. Anand
阿卜	n. Abu
阿卜杜	n. Abdu
阿卜杜勒	n. Abdul
阿卜杜尔	n. Abdul
阿卜杜拉	n. Abdullah
阿卡波糖	n. acarbose
阿卡波糖片	n. acarbose tablets
阿历克斯	n. Alex
阿古拉镇	n. Agula Town
阿古柏	n. Yakub Beg
阿古歌百灵	n. Agul lark
阿司匹林	n. aspirin
阿司匹林泡腾片	n. aspirin effervescent tablet
阿司匹林片	n. aspirin tablet
阿司匹林缓释片	n. aspirin sustained-release tablet
阿司匹林肠溶片	n. aspirin enteric-coated tablets
阿司匹林肠溶胶囊	n. aspirin enteric-coated capsules
阿司咪唑	n. astemizole
阿司米星	n. astromicin
阿合买提江	n. Ahmetjan
阿合亚乡	n. Aheya Township
阿合其农场	n. Aheqi Farm
阿合别里斗乡	n. Ahebelidou Township
阿合奇	n. Akqi
阿合牙孜牧场	n. Aheyazi Ranch
阿吉	n. Aji
阿含	n. Agama
阿呆	n. fool
阿咖酚散	n. aspirin-paracetamol-caffeine powder
阿咖酚胶囊	n. aspirin-paracetamol-caffeine capsules
阿哥	n. elder brother
阿哲	n. A Zhe
阿喀琉斯	n. Achilles
阿嚏	int. achoo
阿图什市	n. Artux City
阿坎	n. Akan
阿坝	n. Aba
阿坝大头花天牛	n. Aba longhorn beetle
阿坝州	n. Aba Prefecture
阿坝藏猪	n. Aba Tibetan pig
阿坝革蜱	n. Aba tick
阿坞乡	n. Awu Township
阿城县	n. Acheng County
阿城市	n. Acheng City
阿基	n. Aki
阿基坦	n. Aquitaine
阿基坦大	n. Aquitaine
阿基米德	n. Archimedes
阿基诺	n. Aquino
阿塔	n. Ata
阿塞	n. Ace
阿塞拜	n. Azer
阿塞拜疆	n. Azerbaijan
阿多乡	n. Aduo Township
阿奇	n. Archie
阿奇笨珊瑚螺	n. Achilles coral shell
阿奇霉素分散片	n. azithromycin dispersible tablet
阿奇霉素干混悬剂	n. azithromycin dry suspension
阿奇霉素注射液	n. azithromycin injection
阿奇霉素片	n. azithromycin tablet
阿奇霉素肠溶片	n. azithromycin enteric-coated tablets
阿奇霉素胶囊	n. azithromycin capsule
阿奇霉素颗粒	n. azithromycin granules
阿奎	n. Aqua
阿奎莱	n. Aquileia
阿奎那	n. Aquinas
阿妈	n. mom	n. mother
阿姆	n. Am
阿姆微蛛	n. Amu spider
阿姆斯	n. Arms
阿姆斯特	n. Amsterdam
阿姆河小拟铲鲟	n. Amu Darya sturgeon
阿姆瑞特家居中心	n. Amrit Home Center
阿姆达尔定律	n. Amdahl's law
阿姨	n. aunt
阿威罗	n. Aveiro
阿婆	n. grandma
阿子滩乡	n. Azitan Township
阿孜乡	n. Azi Township
阿宝	n. Abao
阿密	n. Miami
阿富汗	n. Afghanistan
阿富汗四爪陆龟	n. Afghan tortoise
阿富汗拟璧钱	n. Afghan spider
阿富汗猎狗	n. Afghan hound
阿富汗纹胸鮡	n. Afghan catfish
阿察	n. Acha
阿察乡	n. Acha Township
阿尔	n. Al
阿尔伯	n. Albert
阿尔伯特	n. Albert
阿尔伯特公园赛道	n. Albert Park Circuit
阿尔卑斯	n. Alps
阿尔卑斯山	n. Alps
阿尔卡	n. Alka
阿尔及利亚鳾	n. Algerian nuthatch
阿尔及尔	n. Algiers
阿尔宾娜	n. Alpina
阿尔山	n. Arshan
阿尔山市	n. Arshan City
阿尔巴	n. Alba
阿尔巴尼亚小鱥	n. Albanian minnow
阿尔帕瓦约蚁鸟	n. Alpahuayo antbird
阿尔弗连德骨鳊	n. Alfred's bonytongue
阿尔弗雷多	n. Alfredo
阿尔弗雷德	n. Alfred
阿尔德	n. Alder
阿尔德海蛳螺	n. Alder wentletrap
阿尔敏	n. Armin
阿尔斯	n. Arles
阿尔本格勒镇	n. Arbenggele town
阿尔比迟蛛	n. Albi spider
阿尔法	n. alpha
阿尔法罗密欧	n. Alfa Romeo
阿尔泰	n. Altai
阿尔泰山	n. Altai Mountains
阿尔泰杜父鱼	n. Altai sculpin
阿尔派电子	n. Alpine Electronics
阿尔特	n. Alt
阿尔茨海默病	n. Alzheimer's disease
阿尔萨	n. Alsace
阿尔萨斯	n. Alsace
阿尔贝托	n. Alberto
阿尔贝特	n. Albert
阿尔金山	n. Altun Mountains
阿尔马尔	n. Almar
阿巴	n. Aba
阿巴坎市	n. Abakan city
阿巴拉契亚山	n. Appalachian Mountains
阿巴斯	n. Abbas
阿巴索夫	n. Abasov
阿巴里花鹿宝螺	n. Abari cowrie
阿布	n. Abu
阿布哈兹	n. Abkhazia
阿布扎	n. Abu Dhabi
阿布扎比	n. Abu Dhabi
阿帕	n. Apa
阿帕卢萨马	n. Appaloosa
阿帕契	n. Apache
阿帕契点	n. Apache point
阿幼朵	n. A Youduo
阿庄镇	n. Azhuang Town
阿庆嫂	n. A Qing Sao
阿弥岭	n. Ami Ridge
阿弥陀佛	int. Amitabha
阿归养血糖浆	n. Ejiao Yangxue syrup
阿当嵩海兔螺	n. Adam's ovulid
阿得雷德玫瑰鹦鹉	n. Adelaide rosella
阿德	n. Ade
阿德尔曼鲎超科	n. Adelmann superfamily
阿德福韦酯	n. adefovir dipivoxil
阿德福韦酯片	n. adefovir dipivoxil tablet
阿德福韦酯胶囊	n. adefovir dipivoxil capsule
阿德米尔	n. Ademir
阿德莱德	n. Adelaide
阿德里安	n. Adrian
阿德雷德港	n. Port Adelaide
阿忆	n. A Yi
阿怪	n. A Guai
阿房四路	n. Afang Fourth Road
阿扁	n. A-Bian
阿扎	n. Aza
阿扑吗啡	n. apomorphine
阿托伐他汀	n. atorvastatin
阿托伐他汀钙	n. atorvastatin calcium
