# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
uninhabitable	adj. 不适合居住的
uninhabited	adj. 无人居住
uninhibited	adj. 无拘无束
uninitialize	v. 取消初始化
uninitiated	adj. 不知情的	adj. 外行的
uninjured	adj. 未受伤的
uninspired	adj. 缺乏创意的	adj. 平淡的
uninspiring	adj. 乏味的
uninstall	v. 卸载
uninstallation	n. 卸载
uninstalling	v. 卸载
uninstantiatable	adj. 不可实例化的
uninstrumented	adj. 未插桩的
uninsured	adj. 未投保的
unintelligible	adj. 难懂的
unintended	adj. 非故意的
unintentional	adj. 无意的
unintentionally	adv. 无意地
uninterested	adj. 不感兴趣
uninteresting	adj. 无趣的
uninterrupted	adj. 不间断的
uninvited	adj. 未被邀请的
union	n. 工会	n. 联盟
unionism	n. 工会主义
unionist	n. 工会主义者
unionists	n. 工会主义者
unionization	n. 工会化
unionized	adj. 工会化的
unions	n. 工会	n. 联盟
uniq	adj. 去重
unique	adj. 独特的
uniqueid	n. 唯一标识
uniqueidentifier	n. 唯一标识符
uniquely	adv. 独特地
uniqueness	n. 独特性
uniquifier	n. 唯一化器
unis	n. 大学
unisex	adj. 中性的
unison	n. 齐声
unit	n. 单位	n. 单元
unitarian	n. 一位论派
unitary	adj. 单一的	adj. 统一的
unite	v. 联合
united	adj. 联合的
unites	v. 联合
uniting	v. 联合
units	n. 单位
unittest	n. 单元测试
unity	n. 团结	n. 统一
univariate	adj. 单变量的
universal	adj. 普遍的
universalist	n. 普救论者
universality	n. 普遍性
universally	adv. 普遍地
universe	n. 宇宙
universes	n. 宇宙
universities	n. 大学
university	n. 大学
unix	n. Unix
unixroot	n. Unix根目录
unjust	adj. 不公正
unjustifiable	adj. 不合理的
unjustified	adj. 不合理的
unjustly	adv. 不公正地
unkempt	adj. 凌乱的
unkind	adj. 不友善的
unknowable	adj. 不可知的
unknowing	adj. 不知情的
unknowingly	adv. 不知不觉地
unknown	adj. 未知的
unknowns	n. 未知
unlawful	adj. 非法的
unlawfully	adv. 非法地
unleaded	adj. 无铅的
unleash	v. 释放
unleashed	adj. 释放的
unleashes	v. 释放
unleashing	v. 释放
unless	conj. 除非
unlicense	v. 取消许可
unlicensed	adj. 无执照的
unlike	prep. 不像
unlikely	adj. 不太可能的
unlimited	adj. 无限的
unlisted	adj. 未上市的
unload	v. 卸货
unloaded	v. 卸载
unloading	v. 卸载
unlock	v. 解锁
unlocked	v. 解锁
unlocking	v. 解锁
unlocks	v. 解锁
unloved	adj. 不被爱的
unlucky	adj. 不幸的
unmanageable	adj. 难管理的	adj. 难控制的
unmanaged	adj. 非托管的
unmangle	v. 还原混淆
unmangled	adj. 未混淆的
unmanned	adj. 无人驾驶的
unmap	v. 取消映射
unmark	v. 取消标记
unmarked	adj. 无标记的
unmarried	adj. 未婚的
unmarshaled	adj. 未解组的
unmarshaler	n. 解组器
unmarshalers	n. 解组器
unmarshaling	n. 解组
unmarshallable	adj. 可解组的
unmasked	adj. 揭露的
unmatched	adj. 无与伦比的
unmerge	v. 取消合并
unmergeable	adj. 不可合并的
unmerged	adj. 未合并的
unmerges	v. 取消合并
unmerging	v. 取消合并
unmet	adj. 未满足的
unmistakable	adj. 明显的	adj. 无误的
unmistakably	adv. 无疑地
unmitigated	adj. 十足的
unmock	v. 取消模拟
unmocked	adj. 未模拟的
unmocker	n. 取消模拟器
unmocking	v. 取消模拟
unmodifiable	adj. 不可修改的
unmodified	adj. 未修改的
unmodifing	v. 取消修改
unmotivated	adj. 无动力的
unmount	v. 卸载
unmountable	adj. 不可卸载的
unmounted	adj. 未挂载的
unmounting	v. 卸载中
unmounts	v. 卸载
unmoved	adj. 无动于衷的	adj. 坚定的
unmunge	v. 还原
unmunged	adj. 未处理的
unmunging	v. 还原中
unnamed	adj. 未命名的
unnatural	adj. 不自然的
unnaturally	adv. 不自然地
unnecessarily	adv. 不必要地
unnecessary	adj. 不必要的
unneeded	adj. 不需要的
unnerved	adj. 气馁的
unnerving	adj. 令人不安的
unnest	v. 取消嵌套
unnested	adj. 非嵌套的
unnesting	v. 取消嵌套
unnormalize	v. 反规范化
unnormalized	adj. 非规范化的
unnormalizer	n. 反规范化器
unnormalizing	v. 反规范化
unnoticed	adj. 未被注意的
unobstructed	adj. 无障碍的
unobtrusive	adj. 不显眼的
unoccupied	adj. 空闲的
unofficial	adj. 非官方的
unofficially	adv. 非官方地	adv. 非正式地
unopened	adj. 未打开的	adj. 未开封的
unopinionated	adj. 无主见的
unopposed	adj. 无对手
unoptimized	adj. 未优化的
unordered	adj. 无序的
unorganized	adj. 无组织的
unoriginal	adj. 非原创的	adj. 陈腐的
unorthodox	adj. 非正统的
unpack	v. 打开	v. 拆包
unpackable	adj. 可解包的
unpackage	v. 解包
unpackaged	adj. 未打包的
unpacked	adj. 未打包的
unpacking	n. 拆包	n. 分析
unpaid	adj. 未付的	adj. 无薪的
unpalatable	adj. 难吃的	adj. 令人不快的
unparalleled	adj. 无与伦比的
unparenthesized	adj. 无括号的
unpatriotic	adj. 不爱国的
unpause	v. 取消暂停
unpaused	adj. 未暂停的
unpauses	v. 恢复
unpausing	v. 恢复中
unpend	v. 取消挂起
unpended	adj. 未挂起的
unpending	v. 取消挂起
unpends	v. 取消挂起
unpersisted	adj. 未持久化的
unpkg	n. unpkg
unplanned	adj. 意外的	adj. 无计划的
unplayable	adj. 无法播放的
unpleasant	adj. 不愉快的
unpleasantness	n. 不愉快
unplug	v. 拔掉插头
unplugged	adj. 不插电的
unpopular	adj. 不受欢迎的
unpopularity	n. 不受欢迎
unprecedented	adj. 史无前例的
unpredictability	n. 不可预测性
unpredictable	adj. 不可预测的
unprefixed	adj. 无前缀的
unprepared	adj. 无准备的
unpretentious	adj. 谦逊的
unprocessable	adj. 不可处理的
unprocessed	adj. 未加工的
unproductive	adj. 无成效的
unprofessional	adj. 不专业的
unprofitable	adj. 无利可图的
unprotect	v. 取消保护
unprotected	adj. 无保护的
unprotects	v. 取消保护
unproven	adj. 未经证实的
unprovoked	adj. 无缘无故的
unpruned	adj. 未修剪的
unpublish	v. 取消发布
unpublished	adj. 未出版的
unpublisher	n. 取消发布者
unpublishes	v. 取消发布
unpunished	adj. 未受惩罚的
unqualified	adj. 不合格的	adj. 无资格的
unquestionable	adj. 毋庸置疑的
unquestionably	adv. 无疑地
unquestioned	adj. 公认的
unqueued	adj. 未排队的
unqueueing	v. 出队
unqueues	v. 出队
unranked	adj. 未排名的
unravel	v. 解开	v. 阐明
unraveled	v. 解开
unraveling	v. 解开	v. 崩溃
unreachable	adj. 不可达的
unread	adj. 未读的
unreadable	adj. 难以辨认的
unreal	adj. 不真实的	adj. 虚幻的
unrealistic	adj. 不现实的
unrealized	adj. 未实现的
unreasonable	adj. 不合理的
unreasonably	adv. 不合理地
unrecognizable	adj. 无法辨认的
unrecognized	adj. 未被认出的
unreference	v. 取消引用
unreferenced	adj. 未引用的
unreferences	v. 取消引用
unreferencing	v. 取消引用
unregister	v. 注销
unregistered	adj. 未注册的
unregistering	v. 注销中
unregisters	v. 注销
unregulated	adj. 未监管的
unrelated	adj. 无关的
unreleased	adj. 未发布的
unrelenting	adj. 不屈不挠
unreliable	adj. 不可靠的
unremarkable	adj. 平凡的
unrendered	adj. 未渲染
unrepentant	adj. 不悔悟的
unreported	adj. 未报告的
unrepresentable	adj. 不可表示的
unrequited	adj. 单相思的
unreserved	adj. 无保留的
unresolved	adj. 未解决的
unresponsive	adj. 无反应的
unrest	n. 动荡
unrestrained	adj. 无拘束的	adj. 放纵的
unrestrict	v. 解除限制
unrestricted	adj. 不受限制的
unrivaled	adj. 无与伦比的
unrivalled	adj. 无与伦比的
unroute	v. 取消路由
unruly	adj. 难控制的	adj. 不守规矩的
unsafe	adj. 不安全的
unsaid	adj. 未说的
unsalted	adj. 未加盐的
unsampled	adj. 未采样的
unsanitary	adj. 不卫生的
unsatisfactory	adj. 不令人满意的
unsatisfied	adj. 不满意的
unsatisfying	adj. 不令人满意的
unsaturated	adj. 不饱和的
unsavory	adj. 令人讨厌的
unscathed	adj. 未受伤的
unschedulable	adj. 不可调度的
unschedulables	n. 不可调度项
unschedule	v. 取消调度
unscheduled	adj. 计划外的
unscheduler	n. 取消调度器
unscientific	adj. 不科学的
unscope	v. 取消范围
unscoped	adj. 无范围的
unscopes	v. 取消范围
unscripted	adj. 即兴的
unscrupulous	adj. 不择手段的
unsealed	adj. 未密封的
unseat	v. 罢免
unsecured	adj. 无担保的
unseemly	adj. 不得体的
unseen	adj. 看不见的
unselect	v. 取消选择
unselected	adj. 未选中的
unselecting	v. 取消选择
unselectings	n. 取消选择
unselects	v. 取消选择
unselfish	adj. 无私的
unserializable	adj. 不可序列化的
unset	v. 取消设置
unsetter	n. 取消设置器
unsetting	v. 取消设置
unsettled	adj. 未解决的
unsettling	adj. 令人不安的
unshallow	v. 取消浅层
unshare	v. 取消共享
unshareable	adj. 不可共享的
unsightly	adj. 难看的
unsigned	adj. 未签名的
unskilled	adj. 不熟练的
unsold	adj. 未售出的
unsolicited	adj. 主动提供的	adj. 未经请求的
unsolved	adj. 未解决的
unsophisticated	adj. 单纯的	adj. 朴素的
unsort	v. 取消排序
unsortable	adj. 不可排序的
unsorted	adj. 未排序的
unsound	adj. 不健全的
unspeakable	adj. 难以言表的
unspecified	adj. 未指定的
unspoiled	adj. 未受破坏的
unspoken	adj. 未说出的
unstable	adj. 不稳定
unstage	v. 取消暂存
unstaged	adj. 未暂存
unstash	v. 取消暂存
unstashed	adj. 未暂存的
unsteady	adj. 不稳定的
unstoppable	adj. 不可阻挡的
unstripped	adj. 未剥离的
unstructured	adj. 非结构化的
unstuck	adj. 脱落的
unstyle	v. 取消样式
unstyled	adj. 无样式的
unstyles	v. 取消样式
unsubclassable	adj. 不可子类化的
unsubscribe	v. 退订
unsubscriptable	adj. 不可订阅的
unsubstantiated	adj. 未经证实的
unsubstituted	adj. 未替换的
unsuccessful	adj. 不成功的
unsuccessfully	adv. 不成功地
unsuitable	adj. 不合适的
unsuited	adj. 不适合的
unsullied	adj. 未受污染的
unsung	adj. 未被赞颂的
unsupervised	adj. 无监督的
unsupported	adj. 无支持的
unsure	adj. 不确定的
unsurpassed	adj. 无与伦比
unsurprising	adj. 不意外的
unsurprisingly	adv. 不出所料
unsuspecting	adj. 不怀疑的	adj. 无戒心的
unsustainable	adj. 不可持续的
unswappable	adj. 不可交换的
unswappables	n. 不可交换项
unsweetened	adj. 无糖的
unsympathetic	adj. 冷漠的
unsynced	adj. 未同步的
untamed	adj. 未驯服的
untangle	v. 解开
untapped	adj. 未开发的	adj. 未利用的
untenable	adj. 站不住脚
untested	adj. 未经测试的
unthinkable	adj. 不可想象的
untidy	adj. 不整洁的
untie	v. 解开
untied	adj. 解开的
until	prep. 直到
untimely	adj. 过早的
untitled	adj. 无标题的
unto	prep. 向	prep. 到
untold	adj. 未说出的	adj. 无数的
untouchable	adj. 不可接触的
untouchables	n. 不可接触者
untouched	adj. 未触及的
untoward	adj. 不利的	adj. 意外的
untrace	v. 取消追踪
untrack	v. 取消跟踪
untracked	adj. 未跟踪的
untrained	adj. 未经训练的
untreated	adj. 未经处理的
untrigger	v. 取消触发
untriggered	adj. 未触发的
untrue	adj. 不真实的
untruncated	adj. 未截断的
untrust	v. 不信任
untrusted	adj. 不可信的
untrusts	v. 不信任
untrustworthy	adj. 不可靠的
untyped	adj. 无类型的
unusable	adj. 不可用的
unused	adj. 未用
unusual	adj. 不寻常的
unusually	adv. 异常地
unveil	v. 揭幕	v. 揭示
unveiled	v. 揭幕
unveiling	n. 揭幕
unveils	v. 揭示
unverified	adj. 未验证
unversioned	adj. 未版本化的
unwanted	adj. 不需要的
unwarranted	adj. 无根据的
unwashed	adj. 未洗的
unwavering	adj. 坚定
unwed	adj. 未婚的
unwelcome	adj. 不受欢迎的
unwell	adj. 不舒服的
unwieldy	adj. 笨重的
unwilling	adj. 不愿意的
unwillingly	adv. 不情愿地
unwillingness	n. 不愿意
unwind	v. 放松
unwinding	v. 放松
unwise	adj. 不明智的
unwitting	adj. 不知情的
unwittingly	adv. 无意中
unworkable	adj. 不可行的
unworthy	adj. 不值得的
unwrap	v. 打开	v. 拆开
unwrapped	v. 打开
unwritten	adj. 不成文的
unyielding	adj. 不屈的
unzip	v. 解压
unzipped	v. 解压	v. 拉开拉链
up	adv. 向上
upbeat	adj. 乐观的
upbringing	n. 教养
upc	n. 通用产品代码
upcase	v. 大写
upcased	v. 大写
upcases	v. 大写
upcasing	v. 大写
upcoming	adj. 即将到来的
updatable	adj. 可更新的
update	v. 更新
updated	v. 更新
updateready	adj. 可更新
updates	n. 更新
updatetimestamp	n. 更新时间戳
updating	v. 更新
upfront	adj. 坦率的
upgradability	n. 可升级性
upgrade	v. 升级
upgraded	v. 升级
upgrades	n. 升级
upgrading	v. 升级
upheaval	n. 剧变	n. 动乱
upheavals	n. 剧变
upheld	v. 支持	v. 维持
uphill	adj. 上坡的
uphold	v. 维护	v. 支持
upholding	v. 维护
upholds	v. 支持
upholstered	adj. 有软垫的
upholstery	n. 家具装饰	n. 椅套
upi	n. 统一支付接口
upkeep	n. 保养
upland	n. 高地
uplands	n. 高地
uplift	v. 提升
uplifted	adj. 振奋的	adj. 抬高的
uplifting	adj. 令人振奋的
uplink	n. 上行链路
upload	v. 上传
uploaded	v. 上传
uploader	n. 上传者
uploading	v. 上传
uploads	v. 上传
upmarket	adj. 高档的
upon	prep. 在...上
upos	n. U位置
upped	v. 提高
upper	adj. 上面的
uppercut	n. 上勾拳
uppermost	adj. 最高的	adj. 最重要的
uppers	n. 鞋面
upping	v. 提高
upright	adj. 正直的
uprising	n. 起义
uprisings	n. 起义	n. 暴动
upriver	adv. 上游
uproar	n. 骚动
uproot	v. 根除
uprooted	v. 连根拔起
ups	n. 上升
upsample	v. 上采样
upsampled	v. 上采样
upsampling	n. 上采样
upscale	adj. 高档的
upsert	v. 更新插入
upset	adj. 难过
upsets	v. 打乱	v. 使不安
upsetting	adj. 令人不安的
upshot	n. 结果	n. 结局
upside	n. 上面	n. 优势
upstairs	adv. 楼上
upstanding	adj. 正直的
upstart	n. 暴发户
upstash	n. Upstash
upstate	n. 北部地区
upstream	adv. 上游
upstreams	n. 上游
upsurge	n. 激增	n. 高涨
upswing	n. 上升	n. 好转
uptake	n. 吸收
uptick	n. 上升
uptight	adj. 紧张的	adj. 拘谨的
uptime	n. 正常运行时间
upton	n. 厄普顿
uptown	n. 住宅区
upturned	adj. 朝上的	adj. 翻转的
upward	adv. 向上
upwardly	adv. 向上地
upwards	adv. 向上
ur	n. 乌尔
ural	n. 乌拉尔
urals	n. 乌拉尔
uranium	n. 铀
uranus	n. 天王星
urban	adj. 城市
urbanisation	n. 城市化
urbanization	n. 城市化
urbanized	adj. 城市化的
urchin	n. 顽童
urchins	n. 顽童
urdu	n. 乌尔都语
urea	n. 尿素
urethra	n. 尿道
urge	v. 敦促
urged	v. 敦促
urgency	n. 紧迫	n. 紧急
urgent	adj. 紧急的
urgently	adv. 紧急地
urges	v. 敦促
urging	v. 敦促	v. 力劝
uri	n. URI
uriah	n. 乌利亚
uric	adj. 尿的
uriel	n. 乌列
urinal	n. 小便池
urinary	adj. 尿的
urinate	v. 排尿
urinating	v. 排尿
urination	n. 排尿
urine	n. 尿
url	n. 网址
urlencoded	adj. URL编码
urls	n. 网址
urn	n. 瓮
urns	n. 骨灰盒
urologist	n. 泌尿科医生
urology	n. 泌尿学
urquhart	n. 厄克特
ursa	n. 大熊座
ursula	n. 乌尔苏拉
uruguay	n. 乌拉圭
uruguayan	n. 乌拉圭人
us	pron. 我们
usa	n. 美国
usability	n. 可用性
usable	adj. 可用的
usaf	n. 美国空军
usage	n. 用法
usages	n. 用法
usb	n. USB
usd	n. 美元
usda	n. 美国农业部
use	v. 使用
used	v. 使用
useful	adj. 有用的
usefully	adv. 有用地
usefulness	n. 有用性
useless	adj. 无用的
usenet	n. Usenet
user	n. 用户
useradd	n. 添加用户
userdata	n. 用户数据
userid	n. 用户ID
username	n. 用户名
usernames	n. 用户名
users	n. 用户
uses	v. 使用
usher	n. 引座员
ushered	v. 引导
ushering	v. 引导
ushers	n. 引座员	n. 招待员
ushort	n. 无符号短整型
using	v. 使用
usings	n. 使用
usmc	n. 美国海军陆战队
usn	n. 美国海军
uso	n. 劳军联合组织
usp	n. 美国药典
usps	n. 美国邮政
uss	n. 美国军舰
ussr	n. 苏联
usual	adj. 通常的
usually	adv. 通常
usurp	v. 篡夺	v. 夺取
usurped	v. 篡夺
usurper	n. 篡位者
usury	n. 高利贷
ut	n. 犹他州
utah	n. 犹他
utc	n. 协调世界时
ute	n. 犹特
utensil	n. 器具
utensils	n. 器具	n. 用具
uterine	adj. 子宫的
uterus	n. 子宫
utica	n. 尤蒂卡
util	n. 工具
utilisation	n. 利用
utilise	v. 利用
utilised	v. 利用
utilising	v. 利用
utilitarian	adj. 功利的
utilitarianism	n. 功利主义
utilities	n. 公用事业	n. 实用程序
utility	n. 公用事业
utilization	n. 利用
utilize	v. 利用
utilized	v. 利用
utilizes	v. 利用
utilizing	v. 利用
utils	n. 工具
utmost	adj. 极度的
utopia	n. 乌托邦
utopian	adj. 乌托邦的
utp	n. UTP
utrecht	n. 乌得勒支
utter	v. 说出
utterance	n. 话语
utterances	n. 话语
uttered	v. 说出
uttering	v. 说出
utterly	adv. 完全
uuid	n. UUID
uuids	n. 通用唯一标识符
uv	n. 紫外线
uval	n. U值
uword	n. 无符号字
uzbek	n. 乌兹别克
uzbekistan	n. 乌兹别克斯坦
uzi	n. 乌兹
v	n. V
va	n. 退伍军人事务部
vac	n. 真空吸尘器
vacancies	n. 空缺	n. 空房
vacancy	n. 空缺
vacant	adj. 空的
vacate	v. 腾出	v. 空出
vacated	v. 腾出
vacation	n. 假期
vacationing	v. 度假
vacations	n. 假期
vaccinate	v. 接种疫苗
vaccinated	adj. 接种疫苗的
vaccination	n. 接种疫苗
vaccinations	n. 疫苗接种
vaccine	n. 疫苗
vaccines	n. 疫苗
vacuous	adj. 空洞的
vacuum	n. 真空
vacuuming	v. 吸尘
vacuums	n. 真空	n. 吸尘器
vader	n. 维达
vagabond	n. 流浪者
vagaries	n. 变幻莫测
vagina	n. 阴道
vaginal	adj. 阴道的
vaginas	n. 阴道
vagrant	n. 流浪者
vague	adj. 模糊
vaguely	adv. 模糊地
vagueness	n. 模糊
vain	adj. 徒劳的
val	n. 瓦尔
vala	n. Vala
valdez	n. 瓦尔迪兹
vale	n. 山谷
valedictorian	n. 致告别辞者
valence	n. 价
valencia	n. 巴伦西亚
valentin	n. 瓦伦丁
valentine	n. 情人
valentines	n. 情人
valentino	n. 华伦天奴
valeria	n. 瓦莱里娅
valerian	n. 缬草
valerie	n. 瓦莱丽
valet	n. 侍者
valgrind	n. Valgrind
valhalla	n. 瓦尔哈拉
valiant	adj. 英勇的
valiantly	adv. 勇敢地
valid	adj. 有效的
validate	v. 验证
validated	v. 验证
validates	v. 验证
validating	v. 验证
validation	n. 验证	n. 确认
validator	n. 验证器
validators	n. 验证器
validity	n. 有效性
validly	adv. 有效地
valign	n. 垂直对齐
valium	n. 安定
valkyrie	n. 女武神
vallejo	n. 瓦列霍
valley	n. 山谷
valleys	n. 山谷
valor	n. 英勇
valour	n. 英勇
valparaiso	n. 瓦尔帕莱索
vals	n. 值
valuable	adj. 有价值的
valuables	n. 贵重物品
valuation	n. 估值
valuations	n. 估值	n. 评价
value	n. 价值
valued	adj. 宝贵的
values	n. 价值观	n. 价值
valuing	v. 重视	v. 估价
valve	n. 阀门
valves	n. 阀门	n. 瓣膜
vamp	n. 荡妇
vampire	n. 吸血鬼
vampires	n. 吸血鬼
vamps	n. 鞋面
van	n. 货车
vanadium	n. 钒
vance	n. 万斯
vancouver	n. 温哥华
vandal	n. 破坏者
vandalism	n. 破坏公物
vandalized	v. 破坏
vandals	n. 破坏者
vanderbilt	n. 范德比尔特
vane	n. 风向标
vanessa	n. 凡妮莎
vanguard	n. 先锋
vanilla	n. 香草
vanish	v. 消失
vanished	v. 消失
vanishes	v. 消失
vanishing	adj. 消失的
vanities	n. 虚荣	n. 梳妆台
vanity	n. 虚荣
vanquish	v. 征服
vanquished	adj. 被征服的
vans	n. 货车
vantage	n. 优势
vanuatu	n. 瓦努阿图
vape	v. 吸电子烟
vapid	adj. 乏味的
vaping	n. 电子烟
vapor	n. 蒸汽
vaporized	adj. 蒸发的
vaporizer	n. 蒸发器	n. 汽化器
vapors	n. 蒸汽
vapour	n. 蒸汽
var	n. 变量
varanasi	n. 瓦拉纳西
vargas	n. 瓦尔加斯
variability	n. 可变性
variable	n. 变量
variables	n. 变量
variadic	adj. 可变参数
variance	n. 差异
variances	n. 差异
variant	n. 变体
variants	n. 变体	n. 变种
variation	n. 变化
variations	n. 变化
varicose	adj. 静脉曲张的
varied	adj. 多样的
variegated	adj. 杂色的
varies	v. 变化
varieties	n. 品种	n. 种类
variety	n. 多样性
various	adj. 各种
variously	adv. 不同地	adv. 多方面地
varnish	n. 清漆
varsity	n. 校队
varstatement	n. 变量声明
vary	v. 变化
varying	adj. 不同的
vascular	adj. 血管的
vase	n. 花瓶
vasectomy	n. 输精管切除术
vaseline	n. 凡士林
vases	n. 花瓶
vasquez	n. 瓦斯克斯
vassal	n. 封臣
vassals	n. 封臣
vassar	n. 瓦萨
vast	adj. 广阔的
vastly	adv. 巨大
vastness	n. 广阔
vat	n. 大桶
vatican	n. 梵蒂冈
vats	n. 大桶
vaudeville	n. 杂耍
vaughan	n. 沃恩
vaughn	n. 沃恩
vault	n. 金库
vaulted	adj. 拱形的
vaulting	n. 拱顶
vaults	n. 拱顶	n. 金库
vaunted	adj. 自夸的
vax	n. 疫苗
vazquez	n. 瓦斯克斯
vb	n. 动词
vbox	n. 垂直框
vboxmanage	n. VBox管理
vcenter	n. vCenter
vcpkg	n. VC包管理器
vcpu	n. 虚拟CPU
vcr	n. 录像机
vcursor	n. 虚拟游标
vd	n. 性病
vdso	n. 虚拟动态共享对象
veal	n. 小牛肉
vector	n. 向量
vectorization	n. 向量化
vectorizations	n. 向量化
vectorize	v. 向量化
vectorized	adj. 向量化的
vectorizes	v. 向量化
vectors	n. 向量
veda	n. 吠陀
vedanta	n. 吠檀多
vedas	n. 吠陀
veep	n. 副总统
veer	v. 转向
veered	v. 转向
veering	v. 转向
veers	v. 转向
veertu	n. Veertu
veg	n. 蔬菜
vega	n. 织女星
vegan	n. 纯素者
veganism	n. 纯素主义
vegans	n. 纯素食者
vegas	n. 拉斯维加斯
vegetable	n. 蔬菜
vegetables	n. 蔬菜
vegetarian	n. 素食者
vegetarianism	n. 素食主义
vegetarians	n. 素食者
vegetation	n. 植被
vegetative	adj. 植物的
veggie	n. 蔬菜
veggies	n. 蔬菜
vehement	adj. 激烈的
vehemently	adv. 激烈地
vehicle	n. 车辆
vehicles	n. 车辆
vehicular	adj. 车辆的
veil	n. 面纱
veiled	adj. 蒙面的
veils	n. 面纱
vein	n. 静脉
veins	n. 静脉
vela	n. 船帆座
velcro	n. 维可牢
vellum	n. 羊皮纸
velma	n. 维尔玛
velocities	n. 速度
velocity	n. 速度
velodrome	n. 赛车场
velvet	n. 天鹅绒
velvety	adj. 天鹅绒般的
vendetta	n. 仇杀
vending	n. 自动售货
vendor	n. 供应商
vendors	n. 供应商
veneer	n. 饰面	n. 外表
veneers	n. 饰面
venerable	adj. 德高望重的
venerated	v. 尊敬
veneration	n. 尊敬
venereal	adj. 性病的
venetian	adj. 威尼斯的
venezuela	n. 委内瑞拉
venezuelan	n. 委内瑞拉人
venezuelans	n. 委内瑞拉人
vengeance	n. 复仇	n. 报复
vengeful	adj. 复仇的
venice	n. 威尼斯
venison	n. 鹿肉
venn	n. 维恩
venom	n. 毒液
venomous	adj. 有毒的	adj. 恶毒的
venous	adj. 静脉的
vent	n. 通风口
vented	v. 发泄
ventilated	adj. 通风的
ventilation	n. 通风
ventilator	n. 呼吸机	n. 通风机
ventilators	n. 呼吸机
venting	n. 发泄
ventral	adj. 腹侧的
ventricle	n. 心室
ventricular	adj. 心室的
vents	n. 通风口
venture	n. 冒险	n. 风险
ventured	v. 冒险
ventures	n. 冒险
venturing	v. 冒险
venue	n. 场地
venues	n. 场地
venus	n. 金星	n. 维纳斯
vera	n. 维拉
veracity	n. 真实性	n. 诚实
veracruz	n. 韦拉克鲁斯
veranda	n. 阳台	n. 走廊
verb	n. 动词
verbal	adj. 口头的
verbally	adv. 口头地
verbatim	adv. 逐字地
verbs	n. 动词
verdant	adj. 翠绿的	adj. 青葱的
verde	n. 佛得角
verdi	n. 威尔第
verdict	n. 裁决
verdicts	n. 裁决	n. 判决
verdun	n. 凡尔登
verge	n. 边缘
verifiable	adj. 可核实的	adj. 可验证的
verification	n. 验证
verified	adj. 已验证的
verifies	v. 验证
verify	v. 验证	v. 核实
verifying	v. 验证
verily	adv. 真正地
veritable	adj. 名副其实
verity	n. 真理
verizon	n. 威瑞森
vermeer	n. 维米尔
vermilion	n. 朱红
vermin	n. 害虫
vermont	n. 佛蒙特
vermouth	n. 味美思
vern	n. 弗恩
verna	n. 弗娜
vernacular	n. 方言
vernal	adj. 春天的
verne	n. 凡尔纳
vernon	n. 弗农
verona	n. 维罗纳
veronica	n. 维罗妮卡
versa	adv. 反之
versailles	n. 凡尔赛
versatile	adj. 多才多艺的
versatility	n. 多才多艺
verse	n. 诗	n. 韵文
versed	adj. 熟练的
verses	n. 诗句
version	n. 版本
versionchange	n. 版本变更
versioner	n. 版本管理器
versions	n. 版本
verso	n. 左页
versus	prep. 对
vert	n. 垂直
vertebra	n. 椎骨
vertebrae	n. 椎骨
vertebral	adj. 脊椎的
vertebrate	n. 脊椎动物
vertebrates	n. 脊椎动物
vertex	n. 顶点
vertical	adj. 垂直的
vertically	adv. 垂直地
vertices	n. 顶点
vertigo	n. 眩晕
verve	n. 活力
very	adv. 非常
vesicles	n. 囊泡
vessel	n. 船只
vessels	n. 船只
vest	n. 背心	n. 马甲
vesta	n. 灶神星
vested	adj. 既定的
vestibule	n. 门厅
vestige	n. 遗迹
vestiges	n. 遗迹
vesting	n. 授予
vestments	n. 法衣
vestry	n. 法衣室
vests	n. 背心
vesuvius	n. 维苏威
vet	n. 兽医
veteran	n. 老兵
veterans	n. 老兵	n. 退伍军人
veterinarian	n. 兽医
veterinarians	n. 兽医
veterinary	adj. 兽医的
veth	n. 虚拟以太网
veto	n. 否决
vetoed	v. 否决
vetoes	n. 否决权
vets	n. 兽医
vetted	v. 审查	v. 核实
vetting	n. 审查
vex	v. 使烦恼
vexed	adj. 烦恼的
vexing	adj. 令人烦恼的
vf	n. VF
vfile	n. 虚拟文件
vfio	n. VFIO
vg	n. VG
vga	n. 视频图形阵列
vgcreate	n. 创建卷组
vhf	n. 甚高频
vhs	n. VHS
vi	n. 维尔京群岛
via	prep. 通过
viability	n. 可行性	n. 生存能力
viable	adj. 可行的	adj. 能存活的
viacom	n. 维亚康姆
viaduct	n. 高架桥
viagra	n. 伟哥
vial	n. 小瓶
vials	n. 小瓶
vibe	n. 氛围
vibes	n. 氛围	n. 感觉
vibrancy	n. 活力
vibrant	adj. 充满活力的
vibrate	v. 振动
vibrates	v. 振动
vibrating	adj. 振动的
vibration	n. 振动	n. 震动
vibrations	n. 振动
vibrato	n. 颤音
vibrator	n. 振动器
vibrators	n. 振动器
vic	n. 维克
vicar	n. 牧师
vicarage	n. 牧师住宅
vicarious	adj. 间接的
vicariously	adv. 间接地
vice	n. 恶习
vicente	n. 维森特
viceroy	n. 总督
vices	n. 恶习
vichy	n. 维希
vicinity	n. 附近
vicious	adj. 恶毒的
viciously	adv. 恶毒地
vicki	n. 维姬
